Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.646	-28.5875	-0.00617129
5.64601	-28.5721	-0.00619347
5.64602	-28.5566	-0.00621579
5.64603	-28.541	-0.00623825
5.64604	-28.5254	-0.00626086
5.64605	-28.5098	-0.00628361
5.64606	-28.4941	-0.0063065
5.64607	-28.4784	-0.00632954
5.64608	-28.4627	-0.00635272
5.64609	-28.4469	-0.00637606
5.6461	-28.431	-0.00639954
5.64611	-28.4151	-0.00642317
5.64612	-28.3992	-0.00644696
5.64613	-28.3832	-0.0064709
5.64614	-28.3672	-0.006495
5.64615	-28.3511	-0.00651925
5.64616	-28.335	-0.00654366
5.64617	-28.3189	-0.00656823
5.64618	-28.3027	-0.00659296
5.64619	-28.2864	-0.00661786
5.6462	-28.2701	-0.00664291
5.64621	-28.2538	-0.00666814
5.64622	-28.2374	-0.00669353
5.64623	-28.221	-0.00671908
5.64624	-28.2045	-0.00674481
5.64625	-28.188	-0.00677071
5.64626	-28.1714	-0.00679678
5.64627	-28.1548	-0.00682303
5.64628	-28.1381	-0.00684945
5.64629	-28.1214	-0.00687605
5.6463	-28.1047	-0.00690283
5.64631	-28.0879	-0.00692979
5.64632	-28.071	-0.00695694
5.64633	-28.0541	-0.00698426
5.64634	-28.0372	-0.00701178
5.64635	-28.0201	-0.00703948
5.64636	-28.0031	-0.00706737
5.64637	-27.986	-0.00709546
5.64638	-27.9688	-0.00712373
5.64639	-27.9516	-0.00715221
5.6464	-27.9344	-0.00718088
5.64641	-27.9171	-0.00720974
5.64642	-27.8997	-0.00723881
5.64643	-27.8823	-0.00726809
5.64644	-27.8649	-0.00729756
5.64645	-27.8474	-0.00732725
5.64646	-27.8298	-0.00735714
5.64647	-27.8122	-0.00738724
5.64648	-27.7945	-0.00741756
5.64649	-27.7768	-0.00744809
5.6465	-27.759	-0.00747884
5.64651	-27.7412	-0.0075098
5.64652	-27.7233	-0.00754099
5.64653	-27.7054	-0.00757241
5.64654	-27.6874	-0.00760404
5.64655	-27.6694	-0.00763591
5.64656	-27.6513	-0.007668
5.64657	-27.6331	-0.00770033
5.64658	-27.6149	-0.00773289
5.64659	-27.5966	-0.00776569
5.6466	-27.5783	-0.00779873
5.64661	-27.5599	-0.00783201
5.64662	-27.5415	-0.00786554
5.64663	-27.523	-0.00789931
5.64664	-27.5045	-0.00793333
5.64665	-27.4859	-0.00796761
5.64666	-27.4672	-0.00800214
5.64667	-27.4485	-0.00803692
5.64668	-27.4297	-0.00807197
5.64669	-27.4109	-0.00810727
5.6467	-27.392	-0.00814284
5.64671	-27.373	-0.00817868
5.64672	-27.354	-0.0082148
5.64673	-27.3349	-0.00825118
5.64674	-27.3158	-0.00828784
5.64675	-27.2966	-0.00832478
5.64676	-27.2774	-0.008362
5.64677	-27.258	-0.00839951
5.64678	-27.2387	-0.0084373
5.64679	-27.2192	-0.00847538
5.6468	-27.1997	-0.00851376
5.64681	-27.1801	-0.00855244
5.64682	-27.1605	-0.00859142
5.64683	-27.1408	-0.0086307
5.64684	-27.1211	-0.00867029
5.64685	-27.1012	-0.00871018
5.64686	-27.0814	-0.00875039
5.64687	-27.0614	-0.00879092
5.64688	-27.0414	-0.00883177
5.64689	-27.0213	-0.00887294
5.6469	-27.0012	-0.00891444
5.64691	-26.981	-0.00895627
5.64692	-26.9607	-0.00899844
5.64693	-26.9403	-0.00904094
5.64694	-26.9199	-0.00908379
5.64695	-26.8994	-0.00912698
5.64696	-26.8789	-0.00917052
5.64697	-26.8583	-0.00921442
5.64698	-26.8376	-0.00925867
5.64699	-26.8168	-0.00930328
5.647	-26.796	-0.00934826
5.64701	-26.7751	-0.00939368
5.64702	-26.7541	-0.00943947
5.64703	-26.7331	-0.00948564
5.64704	-26.712	-0.0095322
5.64705	-26.6908	-0.00957914
5.64706	-26.6695	-0.00962647
5.64707	-26.6482	-0.0096742
5.64708	-26.6268	-0.00972233
5.64709	-26.6053	-0.00977087
5.6471	-26.5838	-0.00981982
5.64711	-26.5622	-0.00986918
5.64712	-26.5405	-0.00991896
5.64713	-26.5187	-0.00996917
5.64714	-26.4968	-0.0100198
5.64715	-26.4749	-0.0100709
5.64716	-26.4529	-0.0101224
5.64717	-26.4308	-0.0101743
5.64718	-26.4087	-0.0102268
5.64719	-26.3864	-0.0102796
5.6472	-26.3641	-0.0103329
5.64721	-26.3417	-0.0103867
5.64722	-26.3192	-0.010441
5.64723	-26.2967	-0.0104957
5.64724	-26.274	-0.010551
5.64725	-26.2513	-0.0106067
5.64726	-26.2285	-0.0106629
5.64727	-26.2056	-0.0107196
5.64728	-26.1827	-0.0107768
5.64729	-26.1596	-0.0108346
5.6473	-26.1365	-0.0108928
5.64731	-26.1133	-0.0109516
5.64732	-26.0899	-0.0110109
5.64733	-26.0666	-0.0110708
5.64734	-26.0431	-0.0111312
5.64735	-26.0195	-0.0111921
5.64736	-25.9959	-0.0112537
5.64737	-25.9721	-0.0113158
5.64738	-25.9483	-0.0113784
5.64739	-25.9244	-0.0114417
5.6474	-25.9004	-0.0115055
5.64741	-25.8763	-0.0115699
5.64742	-25.8521	-0.011635
5.64743	-25.8278	-0.0117006
5.64744	-25.8034	-0.0117669
5.64745	-25.779	-0.0118338
5.64746	-25.7544	-0.0119013
5.64747	-25.7298	-0.0119695
5.64748	-25.705	-0.0120383
5.64749	-25.6802	-0.0121078
5.6475	-25.6552	-0.012178
5.64751	-25.6302	-0.0122488
5.64752	-25.6051	-0.0123204
5.64753	-25.5798	-0.0123926
5.64754	-25.5545	-0.0124655
5.64755	-25.5291	-0.0125392
5.64756	-25.5035	-0.0126136
5.64757	-25.4779	-0.0126887
5.64758	-25.4522	-0.0127646
5.64759	-25.4264	-0.0128412
5.6476	-25.4004	-0.0129186
5.64761	-25.3744	-0.0129967
5.64762	-25.3482	-0.0130757
5.64763	-25.322	-0.0131555
5.64764	-25.2956	-0.013236
5.64765	-25.2692	-0.0133174
5.64766	-25.2426	-0.0133996
5.64767	-25.2159	-0.0134827
5.64768	-25.1891	-0.0135666
5.64769	-25.1622	-0.0136514
5.6477	-25.1352	-0.0137371
5.64771	-25.1081	-0.0138236
5.64772	-25.0809	-0.0139111
5.64773	-25.0535	-0.0139995
5.64774	-25.0261	-0.0140888
5.64775	-24.9985	-0.014179
5.64776	-24.9708	-0.0142703
5.64777	-24.943	-0.0143625
5.64778	-24.9151	-0.0144556
5.64779	-24.887	-0.0145498
5.6478	-24.8589	-0.014645
5.64781	-24.8306	-0.0147413
5.64782	-24.8022	-0.0148385
5.64783	-24.7737	-0.0149369
5.64784	-24.745	-0.0150363
5.64785	-24.7163	-0.0151368
5.64786	-24.6874	-0.0152384
5.64787	-24.6584	-0.0153412
5.64788	-24.6292	-0.0154451
5.64789	-24.5999	-0.0155501
5.6479	-24.5705	-0.0156564
5.64791	-24.541	-0.0157638
5.64792	-24.5113	-0.0158725
5.64793	-24.4815	-0.0159824
5.64794	-24.4516	-0.0160935
5.64795	-24.4216	-0.0162059
5.64796	-24.3914	-0.0163196
5.64797	-24.361	-0.0164347
5.64798	-24.3306	-0.016551
5.64799	-24.2999	-0.0166687
5.648	-24.2692	-0.0167878
5.64801	-24.2383	-0.0169085
5.64802	-24.2073	-0.0170305
5.64803	-24.1761	-0.017154
5.64804	-24.1448	-0.017279
5.64805	-24.1133	-0.0174055
5.64806	-24.0817	-0.0175335
5.64807	-24.05	-0.017663
5.64808	-24.0181	-0.0177941
5.64809	-23.986	-0.0179268
5.6481	-23.9538	-0.0180611
5.64811	-23.9215	-0.0181971
5.64812	-23.889	-0.0183347
5.64813	-23.8563	-0.0184741
5.64814	-23.8235	-0.0186152
5.64815	-23.7905	-0.018758
5.64816	-23.7574	-0.0189027
5.64817	-23.7241	-0.0190491
5.64818	-23.6906	-0.0191975
5.64819	-23.657	-0.0193477
5.6482	-23.6232	-0.0194998
5.64821	-23.5892	-0.0196539
5.64822	-23.5551	-0.01981
5.64823	-23.5208	-0.0199681
5.64824	-23.4863	-0.0201282
5.64825	-23.4517	-0.0202905
5.64826	-23.4169	-0.0204549
5.64827	-23.3819	-0.0206214
5.64828	-23.3467	-0.0207902
5.64829	-23.3114	-0.0209612
5.6483	-23.2758	-0.0211345
5.64831	-23.2401	-0.0213102
5.64832	-23.2042	-0.0214882
5.64833	-23.1681	-0.0216686
5.64834	-23.1319	-0.0218516
5.64835	-23.0954	-0.022037
5.64836	-23.0588	-0.0222249
5.64837	-23.0219	-0.0224155
5.64838	-22.9849	-0.0226088
5.64839	-22.9476	-0.0228047
5.6484	-22.9102	-0.0230034
5.64841	-22.8726	-0.0232049
5.64842	-22.8347	-0.0234093
5.64843	-22.7967	-0.0236166
5.64844	-22.7584	-0.0238269
5.64845	-22.72	-0.0240402
5.64846	-22.6813	-0.0242566
5.64847	-22.6424	-0.0244761
5.64848	-22.6033	-0.0246989
5.64849	-22.564	-0.024925
5.6485	-22.5245	-0.0251544
5.64851	-22.4847	-0.0253872
5.64852	-22.4448	-0.0256235
5.64853	-22.4046	-0.0258634
5.64854	-22.3641	-0.0261069
5.64855	-22.3235	-0.0263541
5.64856	-22.2826	-0.0266051
5.64857	-22.2414	-0.0268599
5.64858	-22.2001	-0.0271187
5.64859	-22.1585	-0.0273815
5.6486	-22.1166	-0.0276484
5.64861	-22.0745	-0.0279195
5.64862	-22.0321	-0.0281949
5.64863	-21.9895	-0.0284747
5.64864	-21.9467	-0.028759
5.64865	-21.9036	-0.0290478
5.64866	-21.8602	-0.0293413
5.64867	-21.8166	-0.0296395
5.64868	-21.7727	-0.0299427
5.64869	-21.7285	-0.0302508
5.6487	-21.6841	-0.030564
5.64871	-21.6393	-0.0308825
5.64872	-21.5943	-0.0312063
5.64873	-21.5491	-0.0315355
5.64874	-21.5035	-0.0318703
5.64875	-21.4577	-0.0322108
5.64876	-21.4115	-0.0325572
5.64877	-21.3651	-0.0329095
5.64878	-21.3184	-0.0332679
5.64879	-21.2713	-0.0336326
5.6488	-21.224	-0.0340037
5.64881	-21.1763	-0.0343814
5.64882	-21.1284	-0.0347658
5.64883	-21.0801	-0.0351571
5.64884	-21.0315	-0.0355554
5.64885	-20.9826	-0.0359609
5.64886	-20.9334	-0.0363739
5.64887	-20.8838	-0.0367944
5.64888	-20.8339	-0.0372227
5.64889	-20.7836	-0.037659
5.6489	-20.733	-0.0381034
5.64891	-20.6821	-0.0385562
5.64892	-20.6308	-0.0390176
5.64893	-20.5791	-0.0394878
5.64894	-20.5271	-0.0399671
5.64895	-20.4747	-0.0404556
5.64896	-20.422	-0.0409537
5.64897	-20.3688	-0.0414615
5.64898	-20.3153	-0.0419794
5.64899	-20.2614	-0.0425076
5.649	-20.2071	-0.0430463
5.64901	-20.1524	-0.0435963
5.64902	-20.0973	-0.0441575
5.64903	-20.0418	-0.0447301
5.64904	-19.9859	-0.0453146
5.64905	-19.9296	-0.0459112
5.64906	-19.8728	-0.0465202
5.64907	-19.8157	-0.0471421
5.64908	-19.758	-0.0477772
5.64909	-19.7	-0.0484259
5.6491	-19.6414	-0.0490886
5.64911	-19.5825	-0.0497656
5.64912	-19.523	-0.0504575
5.64913	-19.4631	-0.0511645
5.64914	-19.4027	-0.0518873
5.64915	-19.3418	-0.0526263
5.64916	-19.2805	-0.0533819
5.64917	-19.2186	-0.0541547
