Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.738	-19.9808	-0.0454108
5.738	-19.9774	-0.0454469
5.738	-19.974	-0.045483
5.738	-19.9705	-0.0455191
5.738	-19.9671	-0.0455553
5.738	-19.9637	-0.0455916
5.738	-19.9603	-0.0456279
5.738	-19.9568	-0.0456642
5.738	-19.9534	-0.0457006
5.73801	-19.95	-0.045737
5.73801	-19.9466	-0.0457735
5.73801	-19.9431	-0.04581
5.73801	-19.9397	-0.0458465
5.73801	-19.9362	-0.0458831
5.73801	-19.9328	-0.0459198
5.73801	-19.9294	-0.0459565
5.73801	-19.9259	-0.0459932
5.73801	-19.9225	-0.04603
5.73801	-19.919	-0.0460669
5.73801	-19.9156	-0.0461038
5.73801	-19.9121	-0.0461407
5.73801	-19.9087	-0.0461777
5.73801	-19.9052	-0.0462147
5.73801	-19.9018	-0.0462518
5.73801	-19.8983	-0.0462889
5.73802	-19.8949	-0.046326
5.73802	-19.8914	-0.0463633
5.73802	-19.888	-0.0464005
5.73802	-19.8845	-0.0464378
5.73802	-19.881	-0.0464752
5.73802	-19.8776	-0.0465126
5.73802	-19.8741	-0.04655
5.73802	-19.8706	-0.0465875
5.73802	-19.8672	-0.0466251
5.73802	-19.8637	-0.0466626
5.73802	-19.8602	-0.0467003
5.73802	-19.8568	-0.046738
5.73802	-19.8533	-0.0467757
5.73802	-19.8498	-0.0468135
5.73802	-19.8463	-0.0468513
5.73802	-19.8428	-0.0468892
5.73802	-19.8394	-0.0469271
5.73803	-19.8359	-0.0469651
5.73803	-19.8324	-0.0470031
5.73803	-19.8289	-0.0470412
5.73803	-19.8254	-0.0470793
5.73803	-19.8219	-0.0471175
5.73803	-19.8184	-0.0471557
5.73803	-19.8149	-0.047194
5.73803	-19.8115	-0.0472323
5.73803	-19.808	-0.0472706
5.73803	-19.8045	-0.0473091
5.73803	-19.801	-0.0473475
5.73803	-19.7975	-0.047386
5.73803	-19.794	-0.0474246
5.73803	-19.7905	-0.0474632
5.73803	-19.7869	-0.0475019
5.73803	-19.7834	-0.0475406
5.73803	-19.7799	-0.0475793
5.73804	-19.7764	-0.0476181
5.73804	-19.7729	-0.047657
5.73804	-19.7694	-0.0476959
5.73804	-19.7659	-0.0477349
5.73804	-19.7624	-0.0477739
5.73804	-19.7588	-0.0478129
5.73804	-19.7553	-0.047852
5.73804	-19.7518	-0.0478912
5.73804	-19.7483	-0.0479304
5.73804	-19.7447	-0.0479697
5.73804	-19.7412	-0.048009
5.73804	-19.7377	-0.0480483
5.73804	-19.7342	-0.0480878
5.73804	-19.7306	-0.0481272
5.73804	-19.7271	-0.0481667
5.73804	-19.7236	-0.0482063
5.73805	-19.72	-0.0482459
5.73805	-19.7165	-0.0482856
5.73805	-19.7129	-0.0483253
5.73805	-19.7094	-0.0483651
5.73805	-19.7059	-0.0484049
5.73805	-19.7023	-0.0484448
5.73805	-19.6988	-0.0484847
5.73805	-19.6952	-0.0485247
5.73805	-19.6917	-0.0485647
5.73805	-19.6881	-0.0486048
5.73805	-19.6846	-0.0486449
5.73805	-19.681	-0.0486851
5.73805	-19.6775	-0.0487253
5.73805	-19.6739	-0.0487656
5.73805	-19.6703	-0.048806
5.73805	-19.6668	-0.0488464
5.73805	-19.6632	-0.0488868
5.73806	-19.6596	-0.0489273
5.73806	-19.6561	-0.0489679
5.73806	-19.6525	-0.0490085
5.73806	-19.6489	-0.0490491
5.73806	-19.6454	-0.0490898
5.73806	-19.6418	-0.0491306
5.73806	-19.6382	-0.0491714
5.73806	-19.6346	-0.0492123
5.73806	-19.6311	-0.0492532
5.73806	-19.6275	-0.0492942
5.73806	-19.6239	-0.0493352
5.73806	-19.6203	-0.0493763
5.73806	-19.6167	-0.0494175
5.73806	-19.6131	-0.0494587
5.73806	-19.6095	-0.0494999
5.73806	-19.606	-0.0495412
5.73806	-19.6024	-0.0495826
5.73807	-19.5988	-0.049624
5.73807	-19.5952	-0.0496654
5.73807	-19.5916	-0.049707
5.73807	-19.588	-0.0497485
5.73807	-19.5844	-0.0497902
5.73807	-19.5808	-0.0498318
5.73807	-19.5772	-0.0498736
