Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.61	-28.0365	-0.006989
4.61	-28.0346	-0.00699205
4.61	-28.0327	-0.00699509
4.61	-28.0309	-0.00699814
4.61	-28.029	-0.0070012
4.61001	-28.0271	-0.00700425
4.61001	-28.0252	-0.00700731
4.61001	-28.0233	-0.00701036
4.61001	-28.0215	-0.00701342
4.61001	-28.0196	-0.00701649
4.61001	-28.0177	-0.00701955
4.61001	-28.0158	-0.00702262
4.61001	-28.0139	-0.00702569
4.61001	-28.012	-0.00702876
4.61001	-28.0101	-0.00703183
4.61002	-28.0083	-0.00703491
4.61002	-28.0064	-0.00703799
4.61002	-28.0045	-0.00704107
4.61002	-28.0026	-0.00704415
4.61002	-28.0007	-0.00704724
4.61002	-27.9988	-0.00705033
4.61002	-27.9969	-0.00705342
4.61002	-27.995	-0.00705651
4.61002	-27.9931	-0.0070596
4.61002	-27.9912	-0.0070627
4.61003	-27.9893	-0.0070658
4.61003	-27.9875	-0.0070689
4.61003	-27.9856	-0.007072
4.61003	-27.9837	-0.00707511
4.61003	-27.9818	-0.00707822
4.61003	-27.9799	-0.00708133
4.61003	-27.978	-0.00708444
4.61003	-27.9761	-0.00708756
4.61003	-27.9742	-0.00709067
4.61003	-27.9723	-0.00709379
4.61003	-27.9704	-0.00709692
4.61004	-27.9685	-0.00710004
4.61004	-27.9666	-0.00710317
4.61004	-27.9647	-0.0071063
4.61004	-27.9628	-0.00710943
4.61004	-27.9609	-0.00711256
4.61004	-27.959	-0.0071157
4.61004	-27.9571	-0.00711883
4.61004	-27.9552	-0.00712197
4.61004	-27.9533	-0.00712512
4.61005	-27.9514	-0.00712826
4.61005	-27.9495	-0.00713141
4.61005	-27.9476	-0.00713456
4.61005	-27.9457	-0.00713771
4.61005	-27.9437	-0.00714087
4.61005	-27.9418	-0.00714402
4.61005	-27.9399	-0.00714718
4.61005	-27.938	-0.00715035
4.61005	-27.9361	-0.00715351
4.61005	-27.9342	-0.00715668
4.61006	-27.9323	-0.00715984
4.61006	-27.9304	-0.00716302
4.61006	-27.9285	-0.00716619
4.61006	-27.9266	-0.00716936
4.61006	-27.9246	-0.00717254
4.61006	-27.9227	-0.00717572
4.61006	-27.9208	-0.00717891
4.61006	-27.9189	-0.00718209
4.61006	-27.917	-0.00718528
4.61006	-27.9151	-0.00718847
4.61007	-27.9132	-0.00719166
4.61007	-27.9112	-0.00719486
4.61007	-27.9093	-0.00719805
4.61007	-27.9074	-0.00720125
4.61007	-27.9055	-0.00720445
4.61007	-27.9036	-0.00720766
4.61007	-27.9017	-0.00721087
4.61007	-27.8997	-0.00721407
4.61007	-27.8978	-0.00721729
4.61007	-27.8959	-0.0072205
4.61008	-27.894	-0.00722372
4.61008	-27.892	-0.00722694
4.61008	-27.8901	-0.00723016
4.61008	-27.8882	-0.00723338
4.61008	-27.8863	-0.00723661
4.61008	-27.8844	-0.00723983
4.61008	-27.8824	-0.00724307
4.61008	-27.8805	-0.0072463
4.61008	-27.8786	-0.00724953
4.61008	-27.8766	-0.00725277
4.61009	-27.8747	-0.00725601
4.61009	-27.8728	-0.00725926
4.61009	-27.8709	-0.0072625
4.61009	-27.8689	-0.00726575
4.61009	-27.867	-0.007269
4.61009	-27.8651	-0.00727225
4.61009	-27.8631	-0.00727551
4.61009	-27.8612	-0.00727876
4.61009	-27.8593	-0.00728202
4.61009	-27.8573	-0.00728529
4.6101	-27.8554	-0.00728855
4.6101	-27.8535	-0.00729182
4.6101	-27.8515	-0.00729509
4.6101	-27.8496	-0.00729836
4.6101	-27.8477	-0.00730164
4.6101	-27.8457	-0.00730491
4.6101	-27.8438	-0.00730819
4.6101	-27.8419	-0.00731148
4.6101	-27.8399	-0.00731476
4.6101	-27.838	-0.00731805
4.6101	-27.836	-0.00732134
4.61011	-27.8341	-0.00732463
4.61011	-27.8322	-0.00732792
4.61011	-27.8302	-0.00733122
4.61011	-27.8283	-0.00733452
4.61011	-27.8263	-0.00733782
4.61011	-27.8244	-0.00734113
4.61011	-27.8224	-0.00734443
4.61011	-27.8205	-0.00734774
4.61011	-27.8186	-0.00735106
4.61012	-27.8166	-0.00735437
4.61012	-27.8147	-0.00735769
4.61012	-27.8127	-0.00736101
4.61012	-27.8108	-0.00736433
4.61012	-27.8088	-0.00736765
4.61012	-27.8069	-0.00737098
4.61012	-27.8049	-0.00737431
4.61012	-27.803	-0.00737764
4.61012	-27.801	-0.00738098
4.61012	-27.7991	-0.00738431
4.61013	-27.7971	-0.00738765
4.61013	-27.7952	-0.007391
4.61013	-27.7932	-0.00739434
4.61013	-27.7913	-0.00739769
4.61013	-27.7893	-0.00740104
4.61013	-27.7874	-0.00740439
4.61013	-27.7854	-0.00740775
4.61013	-27.7834	-0.0074111
4.61013	-27.7815	-0.00741446
4.61013	-27.7795	-0.00741783
4.61014	-27.7776	-0.00742119
4.61014	-27.7756	-0.00742456
4.61014	-27.7737	-0.00742793
4.61014	-27.7717	-0.0074313
4.61014	-27.7697	-0.00743468
4.61014	-27.7678	-0.00743806
4.61014	-27.7658	-0.00744144
4.61014	-27.7639	-0.00744482
4.61014	-27.7619	-0.00744821
4.61014	-27.7599	-0.00745159
4.61015	-27.758	-0.00745499
4.61015	-27.756	-0.00745838
4.61015	-27.754	-0.00746178
4.61015	-27.7521	-0.00746517
4.61015	-27.7501	-0.00746858
4.61015	-27.7481	-0.00747198
4.61015	-27.7462	-0.00747539
4.61015	-27.7442	-0.00747879
4.61015	-27.7422	-0.00748221
4.61015	-27.7403	-0.00748562
4.61016	-27.7383	-0.00748904
4.61016	-27.7363	-0.00749246
4.61016	-27.7343	-0.00749588
4.61016	-27.7324	-0.0074993
