Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.251	-20.3899	-0.0416126
6.251	-20.3875	-0.0416359
6.251	-20.3851	-0.0416593
6.251	-20.3826	-0.0416827
6.251	-20.3802	-0.0417062
6.251	-20.3778	-0.0417296
6.251	-20.3754	-0.0417531
6.251	-20.373	-0.0417766
6.251	-20.3705	-0.0418001
6.251	-20.3681	-0.0418236
6.251	-20.3657	-0.0418472
6.251	-20.3633	-0.0418708
6.251	-20.3608	-0.0418944
6.25101	-20.3584	-0.041918
6.25101	-20.356	-0.0419416
6.25101	-20.3535	-0.0419653
6.25101	-20.3511	-0.041989
6.25101	-20.3487	-0.0420127
6.25101	-20.3463	-0.0420364
6.25101	-20.3438	-0.0420602
6.25101	-20.3414	-0.0420839
6.25101	-20.339	-0.0421077
6.25101	-20.3365	-0.0421315
6.25101	-20.3341	-0.0421554
6.25101	-20.3317	-0.0421792
6.25101	-20.3292	-0.0422031
6.25101	-20.3268	-0.042227
6.25101	-20.3243	-0.0422509
6.25101	-20.3219	-0.0422749
6.25101	-20.3195	-0.0422988
6.25101	-20.317	-0.0423228
6.25101	-20.3146	-0.0423468
6.25101	-20.3121	-0.0423708
6.25101	-20.3097	-0.0423949
6.25101	-20.3073	-0.0424189
6.25101	-20.3048	-0.042443
6.25101	-20.3024	-0.0424671
6.25101	-20.2999	-0.0424913
6.25102	-20.2975	-0.0425154
6.25102	-20.295	-0.0425396
6.25102	-20.2926	-0.0425638
6.25102	-20.2901	-0.042588
6.25102	-20.2877	-0.0426123
6.25102	-20.2852	-0.0426365
6.25102	-20.2828	-0.0426608
6.25102	-20.2803	-0.0426851
6.25102	-20.2779	-0.0427095
6.25102	-20.2754	-0.0427338
6.25102	-20.273	-0.0427582
6.25102	-20.2705	-0.0427826
6.25102	-20.2681	-0.042807
6.25102	-20.2656	-0.0428314
6.25102	-20.2631	-0.0428559
6.25102	-20.2607	-0.0428804
6.25102	-20.2582	-0.0429049
6.25102	-20.2558	-0.0429294
6.25102	-20.2533	-0.0429539
6.25102	-20.2508	-0.0429785
6.25102	-20.2484	-0.0430031
6.25102	-20.2459	-0.0430277
6.25102	-20.2434	-0.0430524
6.25102	-20.241	-0.043077
6.25102	-20.2385	-0.0431017
6.25103	-20.236	-0.0431264
6.25103	-20.2336	-0.0431511
6.25103	-20.2311	-0.0431759
6.25103	-20.2286	-0.0432007
6.25103	-20.2262	-0.0432255
6.25103	-20.2237	-0.0432503
6.25103	-20.2212	-0.0432751
6.25103	-20.2188	-0.0433
6.25103	-20.2163	-0.0433249
6.25103	-20.2138	-0.0433498
6.25103	-20.2113	-0.0433747
6.25103	-20.2089	-0.0433996
6.25103	-20.2064	-0.0434246
6.25103	-20.2039	-0.0434496
6.25103	-20.2014	-0.0434746
6.25103	-20.1989	-0.0434997
6.25103	-20.1965	-0.0435247
6.25103	-20.194	-0.0435498
6.25103	-20.1915	-0.0435749
6.25103	-20.189	-0.0436001
6.25103	-20.1865	-0.0436252
6.25103	-20.1841	-0.0436504
6.25103	-20.1816	-0.0436756
6.25103	-20.1791	-0.0437008
6.25103	-20.1766	-0.0437261
6.25104	-20.1741	-0.0437514
6.25104	-20.1716	-0.0437767
6.25104	-20.1691	-0.043802
6.25104	-20.1666	-0.0438273
6.25104	-20.1642	-0.0438527
6.25104	-20.1617	-0.0438781
6.25104	-20.1592	-0.0439035
6.25104	-20.1567	-0.0439289
6.25104	-20.1542	-0.0439544
6.25104	-20.1517	-0.0439798
6.25104	-20.1492	-0.0440053
6.25104	-20.1467	-0.0440309
6.25104	-20.1442	-0.0440564
6.25104	-20.1417	-0.044082
6.25104	-20.1392	-0.0441076
6.25104	-20.1367	-0.0441332
6.25104	-20.1342	-0.0441589
6.25104	-20.1317	-0.0441845
6.25104	-20.1292	-0.0442102
6.25104	-20.1267	-0.0442359
6.25104	-20.1242	-0.0442617
6.25104	-20.1217	-0.0442874
6.25104	-20.1192	-0.0443132
6.25104	-20.1167	-0.044339
6.25104	-20.1142	-0.0443649
6.25105	-20.1117	-0.0443907
6.25105	-20.1092	-0.0444166
6.25105	-20.1066	-0.0444425
6.25105	-20.1041	-0.0444684
6.25105	-20.1016	-0.0444944
6.25105	-20.0991	-0.0445203
6.25105	-20.0966	-0.0445463
6.25105	-20.0941	-0.0445724
6.25105	-20.0916	-0.0445984
6.25105	-20.0891	-0.0446245
6.25105	-20.0865	-0.0446506
6.25105	-20.084	-0.0446767
6.25105	-20.0815	-0.0447028
6.25105	-20.079	-0.044729
6.25105	-20.0765	-0.0447552
6.25105	-20.0739	-0.0447814
6.25105	-20.0714	-0.0448077
6.25105	-20.0689	-0.0448339
6.25105	-20.0664	-0.0448602
6.25105	-20.0638	-0.0448865
6.25105	-20.0613	-0.0449129
6.25105	-20.0588	-0.0449392
6.25105	-20.0563	-0.0449656
6.25105	-20.0537	-0.044992
6.25105	-20.0512	-0.0450185
6.25106	-20.0487	-0.0450449
6.25106	-20.0462	-0.0450714
6.25106	-20.0436	-0.0450979
6.25106	-20.0411	-0.0451244
6.25106	-20.0386	-0.045151
6.25106	-20.036	-0.0451776
6.25106	-20.0335	-0.0452042
6.25106	-20.031	-0.0452308
6.25106	-20.0284	-0.0452575
6.25106	-20.0259	-0.0452841
6.25106	-20.0233	-0.0453109
6.25106	-20.0208	-0.0453376
6.25106	-20.0183	-0.0453643
6.25106	-20.0157	-0.0453911
6.25106	-20.0132	-0.0454179
6.25106	-20.0106	-0.0454448
6.25106	-20.0081	-0.0454716
6.25106	-20.0056	-0.0454985
6.25106	-20.003	-0.0455254
6.25106	-20.0005	-0.0455523
6.25106	-19.9979	-0.0455793
6.25106	-19.9954	-0.0456063
6.25106	-19.9928	-0.0456333
6.25106	-19.9903	-0.0456603
6.25106	-19.9877	-0.0456874
6.25107	-19.9852	-0.0457144
6.25107	-19.9826	-0.0457415
6.25107	-19.9801	-0.0457687
6.25107	-19.9775	-0.0457958
6.25107	-19.975	-0.045823
6.25107	-19.9724	-0.0458502
6.25107	-19.9699	-0.0458775
6.25107	-19.9673	-0.0459047
6.25107	-19.9647	-0.045932
6.25107	-19.9622	-0.0459593
6.25107	-19.9596	-0.0459866
6.25107	-19.9571	-0.046014
6.25107	-19.9545	-0.0460414
6.25107	-19.9519	-0.0460688
6.25107	-19.9494	-0.0460962
6.25107	-19.9468	-0.0461237
6.25107	-19.9443	-0.0461512
6.25107	-19.9417	-0.0461787
6.25107	-19.9391	-0.0462063
6.25107	-19.9366	-0.0462338
6.25107	-19.934	-0.0462614
6.25107	-19.9314	-0.046289
6.25107	-19.9288	-0.0463167
6.25107	-19.9263	-0.0463444
6.25107	-19.9237	-0.046372
6.25108	-19.9211	-0.0463998
6.25108	-19.9186	-0.0464275
6.25108	-19.916	-0.0464553
6.25108	-19.9134	-0.0464831
6.25108	-19.9108	-0.0465109
6.25108	-19.9083	-0.0465388
6.25108	-19.9057	-0.0465667
6.25108	-19.9031	-0.0465946
