Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.162	-27.4009	-0.00832378
5.162	-27.3969	-0.00833156
5.162	-27.3928	-0.00833936
5.162	-27.3888	-0.00834717
5.162	-27.3848	-0.00835499
5.162	-27.3807	-0.00836283
5.16201	-27.3767	-0.00837067
5.16201	-27.3727	-0.00837853
5.16201	-27.3686	-0.0083864
5.16201	-27.3646	-0.00839429
5.16201	-27.3605	-0.00840218
5.16201	-27.3565	-0.00841009
5.16201	-27.3525	-0.00841801
5.16201	-27.3484	-0.00842594
5.16201	-27.3443	-0.00843388
5.16202	-27.3403	-0.00844184
5.16202	-27.3362	-0.00844981
5.16202	-27.3322	-0.00845779
5.16202	-27.3281	-0.00846578
5.16202	-27.324	-0.00847378
5.16202	-27.32	-0.0084818
5.16202	-27.3159	-0.00848983
5.16202	-27.3118	-0.00849787
5.16202	-27.3078	-0.00850593
5.16202	-27.3037	-0.008514
5.16202	-27.2996	-0.00852208
5.16203	-27.2955	-0.00853017
5.16203	-27.2914	-0.00853828
5.16203	-27.2873	-0.00854639
5.16203	-27.2832	-0.00855452
5.16203	-27.2792	-0.00856267
5.16203	-27.2751	-0.00857082
5.16203	-27.271	-0.00857899
5.16203	-27.2669	-0.00858717
5.16203	-27.2628	-0.00859537
5.16203	-27.2586	-0.00860358
5.16204	-27.2545	-0.0086118
5.16204	-27.2504	-0.00862003
5.16204	-27.2463	-0.00862827
5.16204	-27.2422	-0.00863653
5.16204	-27.2381	-0.0086448
5.16204	-27.234	-0.00865309
5.16204	-27.2298	-0.00866139
5.16204	-27.2257	-0.0086697
5.16204	-27.2216	-0.00867802
5.16204	-27.2174	-0.00868636
5.16205	-27.2133	-0.00869471
5.16205	-27.2092	-0.00870307
5.16205	-27.205	-0.00871145
5.16205	-27.2009	-0.00871984
5.16205	-27.1967	-0.00872824
5.16205	-27.1926	-0.00873666
5.16205	-27.1885	-0.00874509
5.16205	-27.1843	-0.00875353
5.16205	-27.1801	-0.00876199
5.16205	-27.176	-0.00877045
5.16206	-27.1718	-0.00877894
5.16206	-27.1677	-0.00878743
5.16206	-27.1635	-0.00879594
5.16206	-27.1593	-0.00880447
5.16206	-27.1552	-0.008813
5.16206	-27.151	-0.00882155
5.16206	-27.1468	-0.00883012
5.16206	-27.1426	-0.0088387
5.16206	-27.1385	-0.00884729
5.16207	-27.1343	-0.00885589
5.16207	-27.1301	-0.00886451
5.16207	-27.1259	-0.00887314
5.16207	-27.1217	-0.00888179
5.16207	-27.1175	-0.00889045
5.16207	-27.1133	-0.00889912
5.16207	-27.1091	-0.00890781
5.16207	-27.1049	-0.00891651
5.16207	-27.1007	-0.00892523
5.16207	-27.0965	-0.00893396
5.16207	-27.0923	-0.0089427
5.16208	-27.0881	-0.00895146
5.16208	-27.0839	-0.00896023
5.16208	-27.0797	-0.00896901
5.16208	-27.0754	-0.00897781
5.16208	-27.0712	-0.00898663
5.16208	-27.067	-0.00899546
5.16208	-27.0628	-0.0090043
5.16208	-27.0585	-0.00901315
5.16208	-27.0543	-0.00902202
5.16209	-27.0501	-0.00903091
5.16209	-27.0458	-0.00903981
5.16209	-27.0416	-0.00904872
5.16209	-27.0373	-0.00905765
5.16209	-27.0331	-0.00906659
5.16209	-27.0288	-0.00907555
5.16209	-27.0246	-0.00908452
5.16209	-27.0203	-0.0090935
5.16209	-27.0161	-0.00910251
5.16209	-27.0118	-0.00911152
5.16209	-27.0076	-0.00912055
5.1621	-27.0033	-0.00912959
5.1621	-26.999	-0.00913865
5.1621	-26.9948	-0.00914773
5.1621	-26.9905	-0.00915681
5.1621	-26.9862	-0.00916592
5.1621	-26.9819	-0.00917503
5.1621	-26.9776	-0.00918417
5.1621	-26.9734	-0.00919331
5.1621	-26.9691	-0.00920248
5.1621	-26.9648	-0.00921165
5.16211	-26.9605	-0.00922085
5.16211	-26.9562	-0.00923005
5.16211	-26.9519	-0.00923927
5.16211	-26.9476	-0.00924851
5.16211	-26.9433	-0.00925776
5.16211	-26.939	-0.00926703
5.16211	-26.9347	-0.00927631
5.16211	-26.9304	-0.00928561
5.16211	-26.9261	-0.00929492
5.16212	-26.9217	-0.00930425
5.16212	-26.9174	-0.0093136
5.16212	-26.9131	-0.00932296
5.16212	-26.9088	-0.00933233
5.16212	-26.9044	-0.00934172
5.16212	-26.9001	-0.00935112
5.16212	-26.8958	-0.00936054
5.16212	-26.8914	-0.00936998
5.16212	-26.8871	-0.00937943
5.16212	-26.8828	-0.0093889
5.16212	-26.8784	-0.00939838
5.16213	-26.8741	-0.00940788
5.16213	-26.8697	-0.0094174
5.16213	-26.8654	-0.00942692
5.16213	-26.861	-0.00943647
5.16213	-26.8566	-0.00944603
5.16213	-26.8523	-0.00945561
5.16213	-26.8479	-0.0094652
5.16213	-26.8436	-0.00947481
5.16213	-26.8392	-0.00948444
5.16214	-26.8348	-0.00949408
5.16214	-26.8304	-0.00950373
5.16214	-26.8261	-0.00951341
5.16214	-26.8217	-0.00952309
5.16214	-26.8173	-0.0095328
5.16214	-26.8129	-0.00954252
5.16214	-26.8085	-0.00955226
5.16214	-26.8041	-0.00956201
5.16214	-26.7997	-0.00957178
5.16214	-26.7953	-0.00958157
5.16214	-26.7909	-0.00959137
5.16215	-26.7865	-0.00960119
5.16215	-26.7821	-0.00961102
5.16215	-26.7777	-0.00962088
5.16215	-26.7733	-0.00963074
5.16215	-26.7689	-0.00964063
5.16215	-26.7645	-0.00965053
5.16215	-26.76	-0.00966045
5.16215	-26.7556	-0.00967038
5.16215	-26.7512	-0.00968033
5.16216	-26.7468	-0.0096903
5.16216	-26.7423	-0.00970028
5.16216	-26.7379	-0.00971029
5.16216	-26.7334	-0.0097203
5.16216	-26.729	-0.00973034
5.16216	-26.7246	-0.00974039
5.16216	-26.7201	-0.00975046
5.16216	-26.7157	-0.00976055
5.16216	-26.7112	-0.00977065
5.16216	-26.7068	-0.00978077
5.16216	-26.7023	-0.0097909
5.16217	-26.6978	-0.00980106
5.16217	-26.6934	-0.00981123
5.16217	-26.6889	-0.00982142
5.16217	-26.6844	-0.00983162
5.16217	-26.68	-0.00984185
5.16217	-26.6755	-0.00985209
5.16217	-26.671	-0.00986234
5.16217	-26.6665	-0.00987262
5.16217	-26.662	-0.00988291
5.16217	-26.6575	-0.00989322
5.16218	-26.653	-0.00990355
5.16218	-26.6486	-0.00991389
5.16218	-26.6441	-0.00992426
5.16218	-26.6396	-0.00993464
5.16218	-26.6351	-0.00994503
5.16218	-26.6305	-0.00995545
5.16218	-26.626	-0.00996588
5.16218	-26.6215	-0.00997633
5.16218	-26.617	-0.0099868
5.16219	-26.6125	-0.00999729
5.16219	-26.608	-0.0100078
5.16219	-26.6034	-0.0100183
5.16219	-26.5989	-0.0100289
5.16219	-26.5944	-0.0100394
5.16219	-26.5899	-0.01005
5.16219	-26.5853	-0.0100606
5.16219	-26.5808	-0.0100712
