Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.2505	-17.2931	-0.085215
6.2505	-17.2897	-0.0852809
6.2505	-17.2864	-0.085347
6.2505	-17.2831	-0.0854131
6.2505	-17.2798	-0.0854793
6.2505	-17.2765	-0.0855456
6.2505	-17.2731	-0.085612
6.2505	-17.2698	-0.0856784
6.2505	-17.2665	-0.085745
6.2505	-17.2631	-0.0858116
6.2505	-17.2598	-0.0858783
6.2505	-17.2565	-0.085945
6.2505	-17.2531	-0.0860119
6.25051	-17.2498	-0.0860788
6.25051	-17.2465	-0.0861459
6.25051	-17.2431	-0.0862129
6.25051	-17.2398	-0.0862801
6.25051	-17.2364	-0.0863474
6.25051	-17.2331	-0.0864147
6.25051	-17.2297	-0.0864821
6.25051	-17.2264	-0.0865496
6.25051	-17.223	-0.0866172
6.25051	-17.2197	-0.0866849
6.25051	-17.2163	-0.0867527
6.25051	-17.213	-0.0868205
6.25051	-17.2096	-0.0868884
6.25051	-17.2063	-0.0869564
6.25051	-17.2029	-0.0870245
6.25051	-17.1996	-0.0870926
6.25051	-17.1962	-0.0871609
6.25051	-17.1929	-0.0872292
6.25051	-17.1895	-0.0872976
6.25051	-17.1861	-0.0873661
6.25051	-17.1828	-0.0874347
6.25051	-17.1794	-0.0875034
6.25051	-17.176	-0.0875721
6.25051	-17.1727	-0.0876409
6.25051	-17.1693	-0.0877098
6.25052	-17.1659	-0.0877788
6.25052	-17.1625	-0.0878479
6.25052	-17.1592	-0.0879171
6.25052	-17.1558	-0.0879863
6.25052	-17.1524	-0.0880557
6.25052	-17.149	-0.0881251
6.25052	-17.1456	-0.0881946
6.25052	-17.1423	-0.0882642
6.25052	-17.1389	-0.0883339
6.25052	-17.1355	-0.0884036
6.25052	-17.1321	-0.0884735
6.25052	-17.1287	-0.0885434
6.25052	-17.1253	-0.0886134
6.25052	-17.1219	-0.0886835
6.25052	-17.1185	-0.0887537
6.25052	-17.1151	-0.088824
6.25052	-17.1118	-0.0888944
6.25052	-17.1084	-0.0889648
6.25052	-17.105	-0.0890353
6.25052	-17.1016	-0.089106
6.25052	-17.0982	-0.0891767
6.25052	-17.0948	-0.0892475
6.25052	-17.0913	-0.0893183
6.25052	-17.0879	-0.0893893
6.25052	-17.0845	-0.0894604
6.25053	-17.0811	-0.0895315
6.25053	-17.0777	-0.0896028
6.25053	-17.0743	-0.0896741
6.25053	-17.0709	-0.0897455
6.25053	-17.0675	-0.089817
6.25053	-17.0641	-0.0898886
6.25053	-17.0606	-0.0899603
