Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.61	-34.5688	-0.00154906
4.61	-34.5679	-0.00154935
4.61	-34.5671	-0.00154965
4.61	-34.5663	-0.00154994
4.61	-34.5655	-0.00155024
4.61001	-34.5647	-0.00155054
4.61001	-34.5638	-0.00155083
4.61001	-34.563	-0.00155113
4.61001	-34.5622	-0.00155142
4.61001	-34.5614	-0.00155172
4.61001	-34.5606	-0.00155202
4.61001	-34.5597	-0.00155231
4.61001	-34.5589	-0.00155261
4.61001	-34.5581	-0.00155291
4.61001	-34.5573	-0.0015532
4.61002	-34.5565	-0.0015535
4.61002	-34.5556	-0.0015538
4.61002	-34.5548	-0.00155409
4.61002	-34.554	-0.00155439
4.61002	-34.5532	-0.00155469
4.61002	-34.5524	-0.00155499
4.61002	-34.5515	-0.00155528
4.61002	-34.5507	-0.00155558
4.61002	-34.5499	-0.00155588
4.61002	-34.5491	-0.00155618
4.61003	-34.5483	-0.00155648
4.61003	-34.5474	-0.00155677
4.61003	-34.5466	-0.00155707
4.61003	-34.5458	-0.00155737
4.61003	-34.545	-0.00155767
4.61003	-34.5441	-0.00155797
4.61003	-34.5433	-0.00155827
4.61003	-34.5425	-0.00155857
4.61003	-34.5417	-0.00155886
4.61003	-34.5409	-0.00155916
4.61003	-34.54	-0.00155946
4.61004	-34.5392	-0.00155976
4.61004	-34.5384	-0.00156006
4.61004	-34.5376	-0.00156036
4.61004	-34.5367	-0.00156066
4.61004	-34.5359	-0.00156096
4.61004	-34.5351	-0.00156126
4.61004	-34.5343	-0.00156156
4.61004	-34.5334	-0.00156186
4.61004	-34.5326	-0.00156216
4.61005	-34.5318	-0.00156246
4.61005	-34.531	-0.00156276
4.61005	-34.5301	-0.00156306
4.61005	-34.5293	-0.00156336
4.61005	-34.5285	-0.00156366
4.61005	-34.5277	-0.00156396
4.61005	-34.5268	-0.00156426
4.61005	-34.526	-0.00156456
4.61005	-34.5252	-0.00156487
4.61005	-34.5244	-0.00156517
4.61006	-34.5235	-0.00156547
4.61006	-34.5227	-0.00156577
4.61006	-34.5219	-0.00156607
4.61006	-34.5211	-0.00156637
4.61006	-34.5202	-0.00156667
4.61006	-34.5194	-0.00156698
4.61006	-34.5186	-0.00156728
4.61006	-34.5178	-0.00156758
4.61006	-34.5169	-0.00156788
4.61006	-34.5161	-0.00156818
4.61007	-34.5153	-0.00156849
4.61007	-34.5144	-0.00156879
4.61007	-34.5136	-0.00156909
4.61007	-34.5128	-0.00156939
4.61007	-34.512	-0.0015697
4.61007	-34.5111	-0.00157
4.61007	-34.5103	-0.0015703
4.61007	-34.5095	-0.00157061
4.61007	-34.5087	-0.00157091
4.61007	-34.5078	-0.00157121
4.61008	-34.507	-0.00157152
4.61008	-34.5062	-0.00157182
4.61008	-34.5053	-0.00157212
4.61008	-34.5045	-0.00157243
4.61008	-34.5037	-0.00157273
4.61008	-34.5028	-0.00157304
4.61008	-34.502	-0.00157334
4.61008	-34.5012	-0.00157365
4.61008	-34.5004	-0.00157395
4.61008	-34.4995	-0.00157425
4.61009	-34.4987	-0.00157456
4.61009	-34.4979	-0.00157486
4.61009	-34.497	-0.00157517
4.61009	-34.4962	-0.00157547
4.61009	-34.4954	-0.00157578
4.61009	-34.4945	-0.00157608
4.61009	-34.4937	-0.00157639
4.61009	-34.4929	-0.00157669
4.61009	-34.492	-0.001577
4.61009	-34.4912	-0.00157731
4.6101	-34.4904	-0.00157761
4.6101	-34.4896	-0.00157792
4.6101	-34.4887	-0.00157822
4.6101	-34.4879	-0.00157853
4.6101	-34.4871	-0.00157884
4.6101	-34.4862	-0.00157914
4.6101	-34.4854	-0.00157945
4.6101	-34.4846	-0.00157975
4.6101	-34.4837	-0.00158006
4.6101	-34.4829	-0.00158037
4.6101	-34.4821	-0.00158068
4.61011	-34.4812	-0.00158098
4.61011	-34.4804	-0.00158129
4.61011	-34.4796	-0.0015816
4.61011	-34.4787	-0.0015819
4.61011	-34.4779	-0.00158221
4.61011	-34.4771	-0.00158252
4.61011	-34.4762	-0.00158283
4.61011	-34.4754	-0.00158313
4.61011	-34.4745	-0.00158344
4.61012	-34.4737	-0.00158375
4.61012	-34.4729	-0.00158406
4.61012	-34.472	-0.00158437
4.61012	-34.4712	-0.00158468
4.61012	-34.4704	-0.00158498
4.61012	-34.4695	-0.00158529
4.61012	-34.4687	-0.0015856
4.61012	-34.4679	-0.00158591
4.61012	-34.467	-0.00158622
4.61012	-34.4662	-0.00158653
4.61013	-34.4654	-0.00158684
4.61013	-34.4645	-0.00158715
4.61013	-34.4637	-0.00158746
4.61013	-34.4628	-0.00158777
4.61013	-34.462	-0.00158807
4.61013	-34.4612	-0.00158838
4.61013	-34.4603	-0.00158869
4.61013	-34.4595	-0.001589
4.61013	-34.4587	-0.00158931
4.61013	-34.4578	-0.00158962
4.61014	-34.457	-0.00158994
4.61014	-34.4561	-0.00159025
4.61014	-34.4553	-0.00159056
4.61014	-34.4545	-0.00159087
4.61014	-34.4536	-0.00159118
4.61014	-34.4528	-0.00159149
4.61014	-34.452	-0.0015918
4.61014	-34.4511	-0.00159211
4.61014	-34.4503	-0.00159242
4.61014	-34.4494	-0.00159273
4.61015	-34.4486	-0.00159304
4.61015	-34.4478	-0.00159336
4.61015	-34.4469	-0.00159367
4.61015	-34.4461	-0.00159398
4.61015	-34.4452	-0.00159429
4.61015	-34.4444	-0.0015946
4.61015	-34.4436	-0.00159492
4.61015	-34.4427	-0.00159523
4.61015	-34.4419	-0.00159554
4.61015	-34.441	-0.00159585
4.61016	-34.4402	-0.00159617
4.61016	-34.4394	-0.00159648
4.61016	-34.4385	-0.00159679
4.61016	-34.4377	-0.0015971
4.61016	-34.4368	-0.00159742
4.61016	-34.436	-0.00159773
4.61016	-34.4351	-0.00159804
4.61016	-34.4343	-0.00159836
4.61016	-34.4335	-0.00159867
4.61016	-34.4326	-0.00159898
4.61017	-34.4318	-0.0015993
4.61017	-34.4309	-0.00159961
4.61017	-34.4301	-0.00159993
4.61017	-34.4292	-0.00160024
4.61017	-34.4284	-0.00160055
4.61017	-34.4276	-0.00160087
4.61017	-34.4267	-0.00160118
4.61017	-34.4259	-0.0016015
4.61017	-34.425	-0.00160181
4.61017	-34.4242	-0.00160213
4.61017	-34.4233	-0.00160244
4.61018	-34.4225	-0.00160276
4.61018	-34.4217	-0.00160307
4.61018	-34.4208	-0.00160339
4.61018	-34.42	-0.0016037
4.61018	-34.4191	-0.00160402
4.61018	-34.4183	-0.00160433
4.61018	-34.4174	-0.00160465
4.61018	-34.4166	-0.00160497
4.61018	-34.4157	-0.00160528
4.61019	-34.4149	-0.0016056
4.61019	-34.4141	-0.00160591
4.61019	-34.4132	-0.00160623
4.61019	-34.4124	-0.00160655
4.61019	-34.4115	-0.00160686
4.61019	-34.4107	-0.00160718
4.61019	-34.4098	-0.0016075
4.61019	-34.409	-0.00160781
4.61019	-34.4081	-0.00160813
4.61019	-34.4073	-0.00160845
4.6102	-34.4064	-0.00160877
4.6102	-34.4056	-0.00160908
4.6102	-34.4047	-0.0016094
4.6102	-34.4039	-0.00160972
4.6102	-34.403	-0.00161004
4.6102	-34.4022	-0.00161035
4.6102	-34.4013	-0.00161067
4.6102	-34.4005	-0.00161099
4.6102	-34.3996	-0.00161131
4.6102	-34.3988	-0.00161163
4.61021	-34.398	-0.00161195
4.61021	-34.3971	-0.00161226
4.61021	-34.3963	-0.00161258
4.61021	-34.3954	-0.0016129
4.61021	-34.3946	-0.00161322
4.61021	-34.3937	-0.00161354
4.61021	-34.3929	-0.00161386
4.61021	-34.392	-0.00161418
4.61021	-34.3912	-0.0016145
4.61021	-34.3903	-0.00161482
4.61022	-34.3895	-0.00161514
4.61022	-34.3886	-0.00161546
4.61022	-34.3878	-0.00161578
4.61022	-34.3869	-0.0016161
4.61022	-34.3861	-0.00161642
4.61022	-34.3852	-0.00161674
