Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.615	-35.6565	-0.00121677
4.615	-35.6554	-0.00121706
4.615	-35.6544	-0.00121735
4.615	-35.6534	-0.00121765
4.615	-35.6523	-0.00121794
4.61501	-35.6513	-0.00121824
4.61501	-35.6503	-0.00121853
4.61501	-35.6492	-0.00121883
4.61501	-35.6482	-0.00121912
4.61501	-35.6472	-0.00121942
4.61501	-35.6461	-0.00121971
4.61501	-35.6451	-0.00122001
4.61501	-35.6441	-0.0012203
4.61501	-35.643	-0.0012206
4.61501	-35.642	-0.00122089
4.61502	-35.641	-0.00122119
4.61502	-35.6399	-0.00122149
4.61502	-35.6389	-0.00122178
4.61502	-35.6378	-0.00122208
4.61502	-35.6368	-0.00122238
4.61502	-35.6358	-0.00122267
4.61502	-35.6347	-0.00122297
4.61502	-35.6337	-0.00122327
4.61502	-35.6327	-0.00122356
4.61502	-35.6316	-0.00122386
4.61503	-35.6306	-0.00122416
4.61503	-35.6296	-0.00122445
4.61503	-35.6285	-0.00122475
4.61503	-35.6275	-0.00122505
4.61503	-35.6264	-0.00122535
4.61503	-35.6254	-0.00122564
4.61503	-35.6244	-0.00122594
4.61503	-35.6233	-0.00122624
4.61503	-35.6223	-0.00122654
4.61503	-35.6212	-0.00122684
4.61503	-35.6202	-0.00122714
4.61504	-35.6192	-0.00122743
4.61504	-35.6181	-0.00122773
4.61504	-35.6171	-0.00122803
4.61504	-35.616	-0.00122833
4.61504	-35.615	-0.00122863
4.61504	-35.614	-0.00122893
4.61504	-35.6129	-0.00122923
4.61504	-35.6119	-0.00122953
4.61504	-35.6108	-0.00122983
4.61505	-35.6098	-0.00123013
4.61505	-35.6087	-0.00123043
4.61505	-35.6077	-0.00123073
4.61505	-35.6067	-0.00123103
4.61505	-35.6056	-0.00123133
4.61505	-35.6046	-0.00123163
4.61505	-35.6035	-0.00123193
4.61505	-35.6025	-0.00123223
4.61505	-35.6014	-0.00123253
4.61505	-35.6004	-0.00123284
4.61505	-35.5994	-0.00123314
4.61506	-35.5983	-0.00123344
4.61506	-35.5973	-0.00123374
4.61506	-35.5962	-0.00123404
4.61506	-35.5952	-0.00123434
4.61506	-35.5941	-0.00123465
4.61506	-35.5931	-0.00123495
4.61506	-35.592	-0.00123525
4.61506	-35.591	-0.00123555
4.61506	-35.5899	-0.00123586
4.61507	-35.5889	-0.00123616
4.61507	-35.5878	-0.00123646
4.61507	-35.5868	-0.00123676
4.61507	-35.5858	-0.00123707
4.61507	-35.5847	-0.00123737
4.61507	-35.5837	-0.00123767
4.61507	-35.5826	-0.00123798
4.61507	-35.5816	-0.00123828
4.61507	-35.5805	-0.00123858
4.61507	-35.5795	-0.00123889
4.61508	-35.5784	-0.00123919
4.61508	-35.5774	-0.0012395
4.61508	-35.5763	-0.0012398
4.61508	-35.5753	-0.00124011
4.61508	-35.5742	-0.00124041
4.61508	-35.5732	-0.00124072
4.61508	-35.5721	-0.00124102
4.61508	-35.5711	-0.00124133
4.61508	-35.57	-0.00124163
4.61508	-35.569	-0.00124194
4.61509	-35.5679	-0.00124224
4.61509	-35.5669	-0.00124255
4.61509	-35.5658	-0.00124285
4.61509	-35.5648	-0.00124316
4.61509	-35.5637	-0.00124347
4.61509	-35.5626	-0.00124377
4.61509	-35.5616	-0.00124408
4.61509	-35.5605	-0.00124439
4.61509	-35.5595	-0.00124469
4.61509	-35.5584	-0.001245
4.6151	-35.5574	-0.00124531
4.6151	-35.5563	-0.00124561
4.6151	-35.5553	-0.00124592
4.6151	-35.5542	-0.00124623
4.6151	-35.5532	-0.00124654
4.6151	-35.5521	-0.00124684
4.6151	-35.551	-0.00124715
4.6151	-35.55	-0.00124746
4.6151	-35.5489	-0.00124777
4.6151	-35.5479	-0.00124808
4.6151	-35.5468	-0.00124838
4.61511	-35.5458	-0.00124869
4.61511	-35.5447	-0.001249
4.61511	-35.5437	-0.00124931
4.61511	-35.5426	-0.00124962
4.61511	-35.5415	-0.00124993
4.61511	-35.5405	-0.00125024
4.61511	-35.5394	-0.00125055
4.61511	-35.5384	-0.00125086
