Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.162	-33.4128	-0.0020763
5.162	-33.4109	-0.00207721
5.162	-33.409	-0.00207812
5.162	-33.4072	-0.00207903
5.162	-33.4053	-0.00207994
5.162	-33.4034	-0.00208085
5.16201	-33.4016	-0.00208176
5.16201	-33.3997	-0.00208268
5.16201	-33.3978	-0.00208359
5.16201	-33.3959	-0.00208451
5.16201	-33.3941	-0.00208542
5.16201	-33.3922	-0.00208634
5.16201	-33.3903	-0.00208726
5.16201	-33.3884	-0.00208818
5.16201	-33.3865	-0.00208909
5.16202	-33.3847	-0.00209001
5.16202	-33.3828	-0.00209093
5.16202	-33.3809	-0.00209186
5.16202	-33.379	-0.00209278
5.16202	-33.3771	-0.0020937
5.16202	-33.3753	-0.00209462
5.16202	-33.3734	-0.00209555
5.16202	-33.3715	-0.00209647
5.16202	-33.3696	-0.0020974
5.16202	-33.3677	-0.00209832
5.16202	-33.3658	-0.00209925
5.16203	-33.364	-0.00210018
5.16203	-33.3621	-0.00210111
5.16203	-33.3602	-0.00210204
5.16203	-33.3583	-0.00210297
5.16203	-33.3564	-0.0021039
5.16203	-33.3545	-0.00210483
5.16203	-33.3526	-0.00210576
5.16203	-33.3507	-0.00210669
5.16203	-33.3488	-0.00210763
5.16203	-33.347	-0.00210856
5.16204	-33.3451	-0.00210949
5.16204	-33.3432	-0.00211043
5.16204	-33.3413	-0.00211137
5.16204	-33.3394	-0.0021123
5.16204	-33.3375	-0.00211324
5.16204	-33.3356	-0.00211418
5.16204	-33.3337	-0.00211512
5.16204	-33.3318	-0.00211606
5.16204	-33.3299	-0.002117
5.16204	-33.328	-0.00211794
5.16205	-33.3261	-0.00211889
5.16205	-33.3242	-0.00211983
5.16205	-33.3223	-0.00212077
5.16205	-33.3204	-0.00212172
5.16205	-33.3185	-0.00212266
5.16205	-33.3166	-0.00212361
5.16205	-33.3147	-0.00212456
5.16205	-33.3128	-0.0021255
5.16205	-33.3109	-0.00212645
5.16205	-33.309	-0.0021274
5.16206	-33.3071	-0.00212835
5.16206	-33.3051	-0.0021293
5.16206	-33.3032	-0.00213025
5.16206	-33.3013	-0.00213121
5.16206	-33.2994	-0.00213216
5.16206	-33.2975	-0.00213311
5.16206	-33.2956	-0.00213407
5.16206	-33.2937	-0.00213502
5.16206	-33.2918	-0.00213598
5.16207	-33.2899	-0.00213694
5.16207	-33.2879	-0.0021379
5.16207	-33.286	-0.00213885
5.16207	-33.2841	-0.00213981
5.16207	-33.2822	-0.00214077
5.16207	-33.2803	-0.00214173
5.16207	-33.2784	-0.0021427
5.16207	-33.2765	-0.00214366
5.16207	-33.2745	-0.00214462
5.16207	-33.2726	-0.00214558
5.16207	-33.2707	-0.00214655
5.16208	-33.2688	-0.00214751
5.16208	-33.2669	-0.00214848
5.16208	-33.2649	-0.00214945
5.16208	-33.263	-0.00215042
5.16208	-33.2611	-0.00215138
5.16208	-33.2592	-0.00215235
5.16208	-33.2572	-0.00215332
5.16208	-33.2553	-0.00215429
5.16208	-33.2534	-0.00215527
5.16209	-33.2515	-0.00215624
5.16209	-33.2495	-0.00215721
5.16209	-33.2476	-0.00215819
5.16209	-33.2457	-0.00215916
5.16209	-33.2437	-0.00216014
5.16209	-33.2418	-0.00216111
5.16209	-33.2399	-0.00216209
5.16209	-33.2379	-0.00216307
5.16209	-33.236	-0.00216405
5.16209	-33.2341	-0.00216503
5.16209	-33.2322	-0.00216601
5.1621	-33.2302	-0.00216699
5.1621	-33.2283	-0.00216797
5.1621	-33.2263	-0.00216895
5.1621	-33.2244	-0.00216994
5.1621	-33.2225	-0.00217092
5.1621	-33.2205	-0.00217191
5.1621	-33.2186	-0.00217289
5.1621	-33.2167	-0.00217388
5.1621	-33.2147	-0.00217487
5.1621	-33.2128	-0.00217585
5.16211	-33.2108	-0.00217684
5.16211	-33.2089	-0.00217783
5.16211	-33.2069	-0.00217882
5.16211	-33.205	-0.00217982
5.16211	-33.2031	-0.00218081
5.16211	-33.2011	-0.0021818
5.16211	-33.1992	-0.0021828
5.16211	-33.1972	-0.00218379
5.16211	-33.1953	-0.00218479
5.16212	-33.1933	-0.00218578
5.16212	-33.1914	-0.00218678
5.16212	-33.1894	-0.00218778
5.16212	-33.1875	-0.00218878
5.16212	-33.1855	-0.00218978
5.16212	-33.1836	-0.00219078
5.16212	-33.1816	-0.00219178
5.16212	-33.1797	-0.00219278
5.16212	-33.1777	-0.00219378
5.16212	-33.1758	-0.00219479
5.16212	-33.1738	-0.00219579
5.16213	-33.1719	-0.0021968
5.16213	-33.1699	-0.0021978
5.16213	-33.1679	-0.00219881
5.16213	-33.166	-0.00219982
5.16213	-33.164	-0.00220083
5.16213	-33.1621	-0.00220184
5.16213	-33.1601	-0.00220285
5.16213	-33.1581	-0.00220386
5.16213	-33.1562	-0.00220487
