Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.1605	-19.7769	-0.0481372
5.1605	-19.7734	-0.0481757
5.1605	-19.77	-0.0482143
5.1605	-19.7665	-0.0482529
5.1605	-19.7631	-0.0482915
5.1605	-19.7596	-0.0483302
5.1605	-19.7562	-0.048369
5.1605	-19.7527	-0.0484078
5.1605	-19.7493	-0.0484466
5.1605	-19.7458	-0.0484855
5.1605	-19.7424	-0.0485244
5.1605	-19.7389	-0.0485634
5.1605	-19.7354	-0.0486025
5.16051	-19.732	-0.0486415
5.16051	-19.7285	-0.0486807
5.16051	-19.7251	-0.0487199
5.16051	-19.7216	-0.0487591
5.16051	-19.7181	-0.0487984
5.16051	-19.7147	-0.0488377
5.16051	-19.7112	-0.0488771
5.16051	-19.7077	-0.0489165
5.16051	-19.7042	-0.048956
5.16051	-19.7008	-0.0489955
5.16051	-19.6973	-0.0490351
5.16051	-19.6938	-0.0490747
5.16051	-19.6903	-0.0491144
5.16051	-19.6868	-0.0491541
5.16051	-19.6834	-0.0491939
5.16051	-19.6799	-0.0492337
5.16051	-19.6764	-0.0492736
5.16051	-19.6729	-0.0493136
5.16051	-19.6694	-0.0493535
5.16051	-19.6659	-0.0493936
5.16051	-19.6624	-0.0494336
5.16051	-19.6589	-0.0494738
5.16051	-19.6554	-0.049514
5.16051	-19.6519	-0.0495542
5.16051	-19.6484	-0.0495945
5.16052	-19.6449	-0.0496348
5.16052	-19.6414	-0.0496752
5.16052	-19.6379	-0.0497156
5.16052	-19.6344	-0.0497561
5.16052	-19.6309	-0.0497967
5.16052	-19.6274	-0.0498373
5.16052	-19.6239	-0.0498779
5.16052	-19.6204	-0.0499186
5.16052	-19.6169	-0.0499593
5.16052	-19.6134	-0.0500001
5.16052	-19.6098	-0.050041
5.16052	-19.6063	-0.0500819
5.16052	-19.6028	-0.0501229
5.16052	-19.5993	-0.0501639
5.16052	-19.5958	-0.0502049
5.16052	-19.5922	-0.050246
5.16052	-19.5887	-0.0502872
5.16052	-19.5852	-0.0503284
5.16052	-19.5817	-0.0503697
5.16052	-19.5781	-0.050411
5.16052	-19.5746	-0.0504524
5.16052	-19.5711	-0.0504938
5.16052	-19.5675	-0.0505353
5.16052	-19.564	-0.0505768
5.16052	-19.5605	-0.0506184
5.16053	-19.5569	-0.05066
5.16053	-19.5534	-0.0507017
5.16053	-19.5498	-0.0507435
5.16053	-19.5463	-0.0507853
5.16053	-19.5427	-0.0508271
5.16053	-19.5392	-0.0508691
5.16053	-19.5356	-0.050911
5.16053	-19.5321	-0.050953
5.16053	-19.5285	-0.0509951
5.16053	-19.525	-0.0510372
5.16053	-19.5214	-0.0510794
5.16053	-19.5179	-0.0511216
5.16053	-19.5143	-0.0511639
5.16053	-19.5107	-0.0512063
5.16053	-19.5072	-0.0512487
5.16053	-19.5036	-0.0512911
5.16053	-19.5	-0.0513336
5.16053	-19.4965	-0.0513762
5.16053	-19.4929	-0.0514188
5.16053	-19.4893	-0.0514615
5.16053	-19.4858	-0.0515042
5.16053	-19.4822	-0.051547
5.16053	-19.4786	-0.0515898
5.16053	-19.475	-0.0516327
5.16053	-19.4715	-0.0516756
5.16054	-19.4679	-0.0517186
5.16054	-19.4643	-0.0517617
5.16054	-19.4607	-0.0518048
5.16054	-19.4571	-0.051848
5.16054	-19.4535	-0.0518912
5.16054	-19.4499	-0.0519345
5.16054	-19.4464	-0.0519778
5.16054	-19.4428	-0.0520212
5.16054	-19.4392	-0.0520647
5.16054	-19.4356	-0.0521082
5.16054	-19.432	-0.0521517
5.16054	-19.4284	-0.0521954
5.16054	-19.4248	-0.052239
5.16054	-19.4212	-0.0522828
5.16054	-19.4176	-0.0523266
5.16054	-19.414	-0.0523704
5.16054	-19.4104	-0.0524143
5.16054	-19.4067	-0.0524583
5.16054	-19.4031	-0.0525023
5.16054	-19.3995	-0.0525464
5.16054	-19.3959	-0.0525905
5.16054	-19.3923	-0.0526347
5.16054	-19.3887	-0.052679
5.16054	-19.3851	-0.0527233
5.16054	-19.3814	-0.0527676
5.16055	-19.3778	-0.0528121
5.16055	-19.3742	-0.0528565
5.16055	-19.3706	-0.0529011
5.16055	-19.3669	-0.0529457
5.16055	-19.3633	-0.0529903
5.16055	-19.3597	-0.0530351
5.16055	-19.356	-0.0530798
5.16055	-19.3524	-0.0531247
5.16055	-19.3488	-0.0531696
5.16055	-19.3451	-0.0532145
5.16055	-19.3415	-0.0532595
5.16055	-19.3379	-0.0533046
5.16055	-19.3342	-0.0533497
5.16055	-19.3306	-0.0533949
5.16055	-19.3269	-0.0534402
5.16055	-19.3233	-0.0534855
5.16055	-19.3196	-0.0535308
5.16055	-19.316	-0.0535763
5.16055	-19.3123	-0.0536218
5.16055	-19.3087	-0.0536673
5.16055	-19.305	-0.0537129
5.16055	-19.3013	-0.0537586
5.16055	-19.2977	-0.0538043
5.16055	-19.294	-0.0538501
5.16055	-19.2904	-0.053896
5.16056	-19.2867	-0.0539419
5.16056	-19.283	-0.0539878
5.16056	-19.2794	-0.0540339
5.16056	-19.2757	-0.05408
5.16056	-19.272	-0.0541261
5.16056	-19.2683	-0.0541723
5.16056	-19.2647	-0.0542186
5.16056	-19.261	-0.054265
5.16056	-19.2573	-0.0543114
5.16056	-19.2536	-0.0543578
5.16056	-19.25	-0.0544043
5.16056	-19.2463	-0.0544509
5.16056	-19.2426	-0.0544976
5.16056	-19.2389	-0.0545443
5.16056	-19.2352	-0.0545911
5.16056	-19.2315	-0.0546379
5.16056	-19.2278	-0.0546848
5.16056	-19.2241	-0.0547318
5.16056	-19.2204	-0.0547788
5.16056	-19.2167	-0.0548259
5.16056	-19.213	-0.054873
5.16056	-19.2093	-0.0549202
5.16056	-19.2056	-0.0549675
5.16056	-19.2019	-0.0550148
5.16056	-19.1982	-0.0550622
5.16057	-19.1945	-0.0551097
5.16057	-19.1908	-0.0551572
5.16057	-19.1871	-0.0552048
5.16057	-19.1834	-0.0552525
5.16057	-19.1797	-0.0553002
5.16057	-19.1759	-0.055348
5.16057	-19.1722	-0.0553958
5.16057	-19.1685	-0.0554438
5.16057	-19.1648	-0.0554917
5.16057	-19.1611	-0.0555398
5.16057	-19.1573	-0.0555879
5.16057	-19.1536	-0.0556361
5.16057	-19.1499	-0.0556843
5.16057	-19.1461	-0.0557326
5.16057	-19.1424	-0.055781
5.16057	-19.1387	-0.0558294
5.16057	-19.1349	-0.0558779
5.16057	-19.1312	-0.0559265
5.16057	-19.1275	-0.0559751
5.16057	-19.1237	-0.0560238
5.16057	-19.12	-0.0560725
5.16057	-19.1162	-0.0561214
5.16057	-19.1125	-0.0561703
5.16057	-19.1087	-0.0562192
5.16057	-19.105	-0.0562682
5.16058	-19.1012	-0.0563173
5.16058	-19.0975	-0.0563665
5.16058	-19.0937	-0.0564157
5.16058	-19.09	-0.056465
5.16058	-19.0862	-0.0565144
5.16058	-19.0824	-0.0565638
5.16058	-19.0787	-0.0566133
5.16058	-19.0749	-0.0566628
5.16058	-19.0711	-0.0567125
5.16058	-19.0674	-0.0567622
5.16058	-19.0636	-0.0568119
5.16058	-19.0598	-0.0568618
5.16058	-19.056	-0.0569117
5.16058	-19.0523	-0.0569616
5.16058	-19.0485	-0.0570117
5.16058	-19.0447	-0.0570618
5.16058	-19.0409	-0.0571119
5.16058	-19.0372	-0.0571622
5.16058	-19.0334	-0.0572125
5.16058	-19.0296	-0.0572629
