Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.159	-17.5155	-0.0808453
5.159	-17.5136	-0.0808819
5.159	-17.5116	-0.0809184
5.159	-17.5097	-0.080955
5.159	-17.5078	-0.0809916
5.159	-17.5058	-0.0810283
5.159	-17.5039	-0.081065
5.159	-17.5019	-0.0811017
5.159	-17.5	-0.0811384
5.159	-17.498	-0.0811751
5.159	-17.4961	-0.0812119
5.159	-17.4942	-0.0812487
5.159	-17.4922	-0.0812855
5.159	-17.4903	-0.0813224
5.159	-17.4883	-0.0813593
5.159	-17.4864	-0.0813962
5.159	-17.4844	-0.0814331
5.159	-17.4825	-0.0814701
5.159	-17.4805	-0.081507
5.159	-17.4786	-0.0815441
5.159	-17.4766	-0.0815811
5.159	-17.4747	-0.0816181
5.159	-17.4727	-0.0816552
5.159	-17.4708	-0.0816923
5.159	-17.4688	-0.0817295
5.159	-17.4669	-0.0817666
5.15901	-17.4649	-0.0818038
5.15901	-17.463	-0.0818411
5.15901	-17.461	-0.0818783
5.15901	-17.4591	-0.0819156
5.15901	-17.4571	-0.0819529
5.15901	-17.4552	-0.0819902
5.15901	-17.4532	-0.0820275
5.15901	-17.4513	-0.0820649
5.15901	-17.4493	-0.0821023
5.15901	-17.4473	-0.0821397
5.15901	-17.4454	-0.0821772
5.15901	-17.4434	-0.0822147
5.15901	-17.4415	-0.0822522
5.15901	-17.4395	-0.0822897
5.15901	-17.4376	-0.0823273
5.15901	-17.4356	-0.0823648
5.15901	-17.4336	-0.0824025
5.15901	-17.4317	-0.0824401
5.15901	-17.4297	-0.0824778
5.15901	-17.4278	-0.0825154
5.15901	-17.4258	-0.0825532
5.15901	-17.4238	-0.0825909
5.15901	-17.4219	-0.0826287
5.15901	-17.4199	-0.0826665
5.15901	-17.4179	-0.0827043
5.15901	-17.416	-0.0827422
5.15901	-17.414	-0.08278
5.15901	-17.4121	-0.0828179
5.15901	-17.4101	-0.0828559
5.15901	-17.4081	-0.0828938
5.15901	-17.4062	-0.0829318
5.15901	-17.4042	-0.0829698
5.15901	-17.4022	-0.0830079
5.15901	-17.4003	-0.0830459
5.15901	-17.3983	-0.083084
5.15901	-17.3963	-0.0831221
5.15901	-17.3943	-0.0831603
5.15901	-17.3924	-0.0831985
5.15901	-17.3904	-0.0832367
5.15901	-17.3884	-0.0832749
5.15901	-17.3865	-0.0833131
5.15901	-17.3845	-0.0833514
5.15901	-17.3825	-0.0833897
5.15901	-17.3806	-0.0834281
5.15901	-17.3786	-0.0834664
5.15901	-17.3766	-0.0835048
5.15901	-17.3746	-0.0835432
5.15901	-17.3727	-0.0835817
5.15901	-17.3707	-0.0836202
5.15902	-17.3687	-0.0836587
5.15902	-17.3667	-0.0836972
5.15902	-17.3648	-0.0837358
5.15902	-17.3628	-0.0837743
5.15902	-17.3608	-0.0838129
5.15902	-17.3588	-0.0838516
5.15902	-17.3568	-0.0838902
5.15902	-17.3549	-0.0839289
5.15902	-17.3529	-0.0839677
5.15902	-17.3509	-0.0840064
5.15902	-17.3489	-0.0840452
5.15902	-17.3469	-0.084084
5.15902	-17.345	-0.0841228
5.15902	-17.343	-0.0841617
5.15902	-17.341	-0.0842006
5.15902	-17.339	-0.0842395
5.15902	-17.337	-0.0842784
5.15902	-17.3351	-0.0843174
5.15902	-17.3331	-0.0843564
