Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.162	-37.3143	-0.000842227
5.162	-37.3132	-0.000842445
5.162	-37.3121	-0.000842663
5.162	-37.311	-0.000842881
5.162	-37.3099	-0.000843099
5.162	-37.3088	-0.000843317
5.16201	-37.3077	-0.000843536
5.16201	-37.3066	-0.000843754
5.16201	-37.3055	-0.000843973
5.16201	-37.3044	-0.000844192
5.16201	-37.3033	-0.00084441
5.16201	-37.3022	-0.000844629
5.16201	-37.3011	-0.000844848
5.16201	-37.3	-0.000845067
5.16201	-37.2989	-0.000845287
5.16202	-37.2978	-0.000845506
5.16202	-37.2967	-0.000845726
5.16202	-37.2956	-0.000845945
5.16202	-37.2945	-0.000846165
5.16202	-37.2934	-0.000846385
5.16202	-37.2923	-0.000846605
5.16202	-37.2912	-0.000846825
5.16202	-37.2901	-0.000847045
5.16202	-37.289	-0.000847265
5.16202	-37.2879	-0.000847486
5.16202	-37.2868	-0.000847706
5.16203	-37.2857	-0.000847927
5.16203	-37.2846	-0.000848147
5.16203	-37.2835	-0.000848368
5.16203	-37.2824	-0.000848589
5.16203	-37.2813	-0.00084881
5.16203	-37.2802	-0.000849032
5.16203	-37.2791	-0.000849253
5.16203	-37.278	-0.000849474
5.16203	-37.2769	-0.000849696
5.16203	-37.2758	-0.000849918
5.16204	-37.2747	-0.000850139
5.16204	-37.2736	-0.000850361
5.16204	-37.2725	-0.000850583
5.16204	-37.2714	-0.000850805
5.16204	-37.2703	-0.000851028
5.16204	-37.2692	-0.00085125
5.16204	-37.2681	-0.000851472
5.16204	-37.267	-0.000851695
5.16204	-37.2659	-0.000851918
5.16204	-37.2647	-0.00085214
5.16205	-37.2636	-0.000852363
5.16205	-37.2625	-0.000852586
5.16205	-37.2614	-0.00085281
5.16205	-37.2603	-0.000853033
5.16205	-37.2592	-0.000853256
5.16205	-37.2581	-0.00085348
5.16205	-37.257	-0.000853703
5.16205	-37.2559	-0.000853927
5.16205	-37.2548	-0.000854151
5.16205	-37.2537	-0.000854375
5.16206	-37.2526	-0.000854599
5.16206	-37.2514	-0.000854823
5.16206	-37.2503	-0.000855048
5.16206	-37.2492	-0.000855272
5.16206	-37.2481	-0.000855497
5.16206	-37.247	-0.000855721
5.16206	-37.2459	-0.000855946
5.16206	-37.2448	-0.000856171
5.16206	-37.2437	-0.000856396
5.16207	-37.2426	-0.000856621
5.16207	-37.2414	-0.000856846
5.16207	-37.2403	-0.000857072
5.16207	-37.2392	-0.000857297
5.16207	-37.2381	-0.000857523
5.16207	-37.237	-0.000857749
5.16207	-37.2359	-0.000857975
5.16207	-37.2348	-0.000858201
5.16207	-37.2336	-0.000858427
5.16207	-37.2325	-0.000858653
5.16207	-37.2314	-0.000858879
5.16208	-37.2303	-0.000859106
5.16208	-37.2292	-0.000859332
5.16208	-37.2281	-0.000859559
5.16208	-37.2269	-0.000859786
5.16208	-37.2258	-0.000860013
5.16208	-37.2247	-0.00086024
5.16208	-37.2236	-0.000860467
5.16208	-37.2225	-0.000860694
5.16208	-37.2214	-0.000860922
5.16209	-37.2202	-0.000861149
5.16209	-37.2191	-0.000861377
5.16209	-37.218	-0.000861604
5.16209	-37.2169	-0.000861832
5.16209	-37.2158	-0.00086206
5.16209	-37.2146	-0.000862288
5.16209	-37.2135	-0.000862517
5.16209	-37.2124	-0.000862745
5.16209	-37.2113	-0.000862974
5.16209	-37.2102	-0.000863202
5.16209	-37.209	-0.000863431
5.1621	-37.2079	-0.00086366
5.1621	-37.2068	-0.000863889
5.1621	-37.2057	-0.000864118
5.1621	-37.2046	-0.000864347
5.1621	-37.2034	-0.000864576
5.1621	-37.2023	-0.000864806
5.1621	-37.2012	-0.000865035
5.1621	-37.2001	-0.000865265
5.1621	-37.1989	-0.000865495
5.1621	-37.1978	-0.000865725
5.16211	-37.1967	-0.000865955
5.16211	-37.1956	-0.000866185
5.16211	-37.1944	-0.000866415
5.16211	-37.1933	-0.000866646
5.16211	-37.1922	-0.000866876
5.16211	-37.1911	-0.000867107
5.16211	-37.1899	-0.000867338
5.16211	-37.1888	-0.000867569
5.16211	-37.1877	-0.0008678
5.16212	-37.1865	-0.000868031
5.16212	-37.1854	-0.000868262
5.16212	-37.1843	-0.000868493
5.16212	-37.1832	-0.000868725
5.16212	-37.182	-0.000868957
5.16212	-37.1809	-0.000869188
5.16212	-37.1798	-0.00086942
5.16212	-37.1786	-0.000869652
5.16212	-37.1775	-0.000869884
5.16212	-37.1764	-0.000870117
5.16212	-37.1753	-0.000870349
5.16213	-37.1741	-0.000870581
5.16213	-37.173	-0.000870814
5.16213	-37.1719	-0.000871047
5.16213	-37.1707	-0.00087128
5.16213	-37.1696	-0.000871513
5.16213	-37.1685	-0.000871746
5.16213	-37.1673	-0.000871979
5.16213	-37.1662	-0.000872212
5.16213	-37.1651	-0.000872446
5.16214	-37.1639	-0.000872679
5.16214	-37.1628	-0.000872913
5.16214	-37.1617	-0.000873147
5.16214	-37.1605	-0.000873381
5.16214	-37.1594	-0.000873615
5.16214	-37.1583	-0.000873849
5.16214	-37.1571	-0.000874084
5.16214	-37.156	-0.000874318
5.16214	-37.1549	-0.000874553
5.16214	-37.1537	-0.000874788
5.16214	-37.1526	-0.000875022
5.16215	-37.1514	-0.000875257
5.16215	-37.1503	-0.000875492
5.16215	-37.1492	-0.000875728
5.16215	-37.148	-0.000875963
5.16215	-37.1469	-0.000876198
5.16215	-37.1458	-0.000876434
5.16215	-37.1446	-0.00087667
5.16215	-37.1435	-0.000876906
