Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.825	-27.52	-0.00788261
5.825	-27.5184	-0.00788556
5.825	-27.5167	-0.00788851
5.825	-27.5151	-0.00789147
5.825	-27.5135	-0.00789442
5.825	-27.5119	-0.00789738
5.82501	-27.5103	-0.00790034
5.82501	-27.5087	-0.00790331
5.82501	-27.507	-0.00790627
5.82501	-27.5054	-0.00790924
5.82501	-27.5038	-0.0079122
5.82501	-27.5022	-0.00791517
5.82501	-27.5006	-0.00791815
5.82501	-27.499	-0.00792112
5.82501	-27.4973	-0.0079241
5.82502	-27.4957	-0.00792707
5.82502	-27.4941	-0.00793005
5.82502	-27.4925	-0.00793303
5.82502	-27.4909	-0.00793602
5.82502	-27.4892	-0.007939
5.82502	-27.4876	-0.00794199
5.82502	-27.486	-0.00794498
5.82502	-27.4844	-0.00794797
5.82502	-27.4827	-0.00795096
5.82502	-27.4811	-0.00795396
5.82503	-27.4795	-0.00795696
5.82503	-27.4779	-0.00795996
5.82503	-27.4762	-0.00796296
5.82503	-27.4746	-0.00796596
5.82503	-27.473	-0.00796896
5.82503	-27.4714	-0.00797197
5.82503	-27.4697	-0.00797498
5.82503	-27.4681	-0.00797799
5.82503	-27.4665	-0.007981
5.82503	-27.4648	-0.00798402
5.82503	-27.4632	-0.00798703
5.82504	-27.4616	-0.00799005
5.82504	-27.46	-0.00799307
5.82504	-27.4583	-0.0079961
5.82504	-27.4567	-0.00799912
5.82504	-27.4551	-0.00800215
5.82504	-27.4534	-0.00800517
5.82504	-27.4518	-0.0080082
5.82504	-27.4502	-0.00801124
5.82504	-27.4485	-0.00801427
5.82505	-27.4469	-0.00801731
5.82505	-27.4453	-0.00802035
5.82505	-27.4436	-0.00802339
5.82505	-27.442	-0.00802643
5.82505	-27.4404	-0.00802947
5.82505	-27.4387	-0.00803252
5.82505	-27.4371	-0.00803557
5.82505	-27.4355	-0.00803862
5.82505	-27.4338	-0.00804167
5.82505	-27.4322	-0.00804472
5.82505	-27.4305	-0.00804778
5.82506	-27.4289	-0.00805084
5.82506	-27.4273	-0.0080539
5.82506	-27.4256	-0.00805696
5.82506	-27.424	-0.00806002
5.82506	-27.4223	-0.00806309
5.82506	-27.4207	-0.00806616
5.82506	-27.4191	-0.00806923
5.82506	-27.4174	-0.0080723
5.82506	-27.4158	-0.00807537
5.82507	-27.4141	-0.00807845
5.82507	-27.4125	-0.00808153
5.82507	-27.4108	-0.00808461
5.82507	-27.4092	-0.00808769
5.82507	-27.4076	-0.00809077
5.82507	-27.4059	-0.00809386
5.82507	-27.4043	-0.00809695
5.82507	-27.4026	-0.00810004
5.82507	-27.401	-0.00810313
5.82507	-27.3993	-0.00810622
5.82508	-27.3977	-0.00810932
5.82508	-27.396	-0.00811242
5.82508	-27.3944	-0.00811552
5.82508	-27.3927	-0.00811862
5.82508	-27.3911	-0.00812173
5.82508	-27.3894	-0.00812483
5.82508	-27.3878	-0.00812794
5.82508	-27.3861	-0.00813105
5.82508	-27.3845	-0.00813417
5.82508	-27.3828	-0.00813728
5.82509	-27.3812	-0.0081404
5.82509	-27.3795	-0.00814352
5.82509	-27.3779	-0.00814664
5.82509	-27.3762	-0.00814976
5.82509	-27.3746	-0.00815288
5.82509	-27.3729	-0.00815601
5.82509	-27.3713	-0.00815914
5.82509	-27.3696	-0.00816227
5.82509	-27.368	-0.0081654
5.82509	-27.3663	-0.00816854
5.8251	-27.3646	-0.00817168
5.8251	-27.363	-0.00817482
5.8251	-27.3613	-0.00817796
5.8251	-27.3597	-0.0081811
5.8251	-27.358	-0.00818425
5.8251	-27.3564	-0.0081874
5.8251	-27.3547	-0.00819054
5.8251	-27.353	-0.0081937
5.8251	-27.3514	-0.00819685
5.8251	-27.3497	-0.00820001
