Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.253	-19.8167	-0.0479486
6.253	-19.8135	-0.0479837
6.253	-19.8104	-0.0480188
6.253	-19.8072	-0.0480539
6.253	-19.8041	-0.0480891
6.253	-19.8009	-0.0481244
6.253	-19.7978	-0.0481596
6.253	-19.7946	-0.048195
6.253	-19.7915	-0.0482303
6.253	-19.7883	-0.0482657
6.253	-19.7852	-0.0483012
6.253	-19.782	-0.0483366
6.253	-19.7789	-0.0483722
6.25301	-19.7757	-0.0484077
6.25301	-19.7725	-0.0484433
6.25301	-19.7694	-0.048479
6.25301	-19.7662	-0.0485147
6.25301	-19.763	-0.0485504
6.25301	-19.7599	-0.0485861
6.25301	-19.7567	-0.048622
6.25301	-19.7535	-0.0486578
6.25301	-19.7504	-0.0486937
6.25301	-19.7472	-0.0487296
6.25301	-19.744	-0.0487656
6.25301	-19.7408	-0.0488016
6.25301	-19.7377	-0.0488377
6.25301	-19.7345	-0.0488738
6.25301	-19.7313	-0.0489099
6.25301	-19.7281	-0.0489461
6.25301	-19.7249	-0.0489823
6.25301	-19.7218	-0.0490186
6.25301	-19.7186	-0.0490549
6.25301	-19.7154	-0.0490913
6.25301	-19.7122	-0.0491276
6.25301	-19.709	-0.0491641
6.25301	-19.7058	-0.0492006
6.25301	-19.7026	-0.0492371
6.25301	-19.6994	-0.0492736
6.25302	-19.6962	-0.0493102
6.25302	-19.693	-0.0493469
6.25302	-19.6898	-0.0493836
6.25302	-19.6866	-0.0494203
6.25302	-19.6834	-0.0494571
6.25302	-19.6802	-0.0494939
6.25302	-19.677	-0.0495308
6.25302	-19.6738	-0.0495677
6.25302	-19.6706	-0.0496046
6.25302	-19.6674	-0.0496416
6.25302	-19.6642	-0.0496787
6.25302	-19.661	-0.0497157
6.25302	-19.6578	-0.0497529
6.25302	-19.6546	-0.04979
6.25302	-19.6514	-0.0498272
6.25302	-19.6482	-0.0498645
6.25302	-19.645	-0.0499018
6.25302	-19.6417	-0.0499391
6.25302	-19.6385	-0.0499765
6.25302	-19.6353	-0.0500139
6.25302	-19.6321	-0.0500514
6.25302	-19.6289	-0.0500889
6.25302	-19.6256	-0.0501265
6.25302	-19.6224	-0.0501641
6.25302	-19.6192	-0.0502017
6.25303	-19.6159	-0.0502394
6.25303	-19.6127	-0.0502772
6.25303	-19.6095	-0.0503149
6.25303	-19.6063	-0.0503528
6.25303	-19.603	-0.0503906
6.25303	-19.5998	-0.0504285
6.25303	-19.5966	-0.0504665
6.25303	-19.5933	-0.0505045
6.25303	-19.5901	-0.0505426
6.25303	-19.5868	-0.0505806
6.25303	-19.5836	-0.0506188
6.25303	-19.5804	-0.050657
6.25303	-19.5771	-0.0506952
6.25303	-19.5739	-0.0507335
6.25303	-19.5706	-0.0507718
6.25303	-19.5674	-0.0508101
6.25303	-19.5641	-0.0508486
6.25303	-19.5609	-0.050887
6.25303	-19.5576	-0.0509255
6.25303	-19.5544	-0.0509641
6.25303	-19.5511	-0.0510027
6.25303	-19.5478	-0.0510413
6.25303	-19.5446	-0.05108
6.25303	-19.5413	-0.0511187
6.25303	-19.5381	-0.0511575
6.25304	-19.5348	-0.0511963
6.25304	-19.5315	-0.0512352
6.25304	-19.5283	-0.0512741
6.25304	-19.525	-0.051313
6.25304	-19.5217	-0.051352
6.25304	-19.5185	-0.0513911
6.25304	-19.5152	-0.0514302
6.25304	-19.5119	-0.0514693
6.25304	-19.5087	-0.0515085
6.25304	-19.5054	-0.0515478
6.25304	-19.5021	-0.0515871
6.25304	-19.4988	-0.0516264
6.25304	-19.4955	-0.0516658
6.25304	-19.4923	-0.0517052
6.25304	-19.489	-0.0517447
6.25304	-19.4857	-0.0517842
6.25304	-19.4824	-0.0518238
6.25304	-19.4791	-0.0518634
6.25304	-19.4758	-0.051903
6.25304	-19.4726	-0.0519427
6.25304	-19.4693	-0.0519825
6.25304	-19.466	-0.0520223
6.25304	-19.4627	-0.0520622
6.25304	-19.4594	-0.0521021
6.25304	-19.4561	-0.052142
6.25305	-19.4528	-0.052182
6.25305	-19.4495	-0.0522221
6.25305	-19.4462	-0.0522621
6.25305	-19.4429	-0.0523023
6.25305	-19.4396	-0.0523425
6.25305	-19.4363	-0.0523827
6.25305	-19.433	-0.052423
6.25305	-19.4297	-0.0524633
6.25305	-19.4264	-0.0525037
6.25305	-19.4231	-0.0525441
6.25305	-19.4197	-0.0525846
6.25305	-19.4164	-0.0526252
6.25305	-19.4131	-0.0526657
6.25305	-19.4098	-0.0527064
6.25305	-19.4065	-0.052747
6.25305	-19.4032	-0.0527878
6.25305	-19.3998	-0.0528285
6.25305	-19.3965	-0.0528694
6.25305	-19.3932	-0.0529102
6.25305	-19.3899	-0.0529512
6.25305	-19.3865	-0.0529921
6.25305	-19.3832	-0.0530332
6.25305	-19.3799	-0.0530742
6.25305	-19.3766	-0.0531153
6.25305	-19.3732	-0.0531565
6.25306	-19.3699	-0.0531977
6.25306	-19.3666	-0.053239
6.25306	-19.3632	-0.0532803
6.25306	-19.3599	-0.0533217
