Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.61	-36.9291	-0.000898471
4.61	-36.9285	-0.000898596
4.61	-36.9279	-0.000898721
4.61	-36.9273	-0.000898846
4.61	-36.9268	-0.000898971
4.61001	-36.9262	-0.000899096
4.61001	-36.9256	-0.000899221
4.61001	-36.925	-0.000899346
4.61001	-36.9244	-0.000899471
4.61001	-36.9238	-0.000899596
4.61001	-36.9232	-0.000899721
4.61001	-36.9226	-0.000899846
4.61001	-36.922	-0.000899971
4.61001	-36.9214	-0.000900096
4.61001	-36.9208	-0.000900222
4.61002	-36.9202	-0.000900347
4.61002	-36.9196	-0.000900472
4.61002	-36.919	-0.000900598
4.61002	-36.9184	-0.000900723
4.61002	-36.9178	-0.000900848
4.61002	-36.9172	-0.000900974
4.61002	-36.9166	-0.000901099
4.61002	-36.9161	-0.000901225
4.61002	-36.9155	-0.000901351
4.61002	-36.9149	-0.000901476
4.61003	-36.9143	-0.000901602
4.61003	-36.9137	-0.000901728
4.61003	-36.9131	-0.000901853
4.61003	-36.9125	-0.000901979
4.61003	-36.9119	-0.000902105
4.61003	-36.9113	-0.000902231
4.61003	-36.9107	-0.000902356
4.61003	-36.9101	-0.000902482
4.61003	-36.9095	-0.000902608
4.61003	-36.9089	-0.000902734
4.61003	-36.9083	-0.00090286
4.61004	-36.9077	-0.000902986
4.61004	-36.9071	-0.000903112
4.61004	-36.9065	-0.000903239
4.61004	-36.9059	-0.000903365
4.61004	-36.9053	-0.000903491
4.61004	-36.9047	-0.000903617
4.61004	-36.9041	-0.000903743
4.61004	-36.9035	-0.00090387
4.61004	-36.9029	-0.000903996
4.61005	-36.9023	-0.000904122
4.61005	-36.9017	-0.000904249
4.61005	-36.9011	-0.000904375
4.61005	-36.9005	-0.000904502
4.61005	-36.8999	-0.000904628
4.61005	-36.8993	-0.000904755
4.61005	-36.8987	-0.000904881
4.61005	-36.8981	-0.000905008
4.61005	-36.8975	-0.000905135
