Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.61	-30.0481	-0.00439475
4.61	-30.0466	-0.00439624
4.61	-30.0451	-0.00439774
4.61	-30.0437	-0.00439923
4.61	-30.0422	-0.00440073
4.61001	-30.0407	-0.00440223
4.61001	-30.0393	-0.00440373
4.61001	-30.0378	-0.00440522
4.61001	-30.0363	-0.00440673
4.61001	-30.0349	-0.00440823
4.61001	-30.0334	-0.00440973
4.61001	-30.0319	-0.00441123
4.61001	-30.0305	-0.00441274
4.61001	-30.029	-0.00441424
4.61001	-30.0275	-0.00441575
4.61002	-30.026	-0.00441725
4.61002	-30.0246	-0.00441876
4.61002	-30.0231	-0.00442027
4.61002	-30.0216	-0.00442178
4.61002	-30.0202	-0.00442329
4.61002	-30.0187	-0.0044248
4.61002	-30.0172	-0.00442631
4.61002	-30.0157	-0.00442782
4.61002	-30.0143	-0.00442934
4.61002	-30.0128	-0.00443085
4.61003	-30.0113	-0.00443237
4.61003	-30.0098	-0.00443388
4.61003	-30.0084	-0.0044354
4.61003	-30.0069	-0.00443692
4.61003	-30.0054	-0.00443844
4.61003	-30.0039	-0.00443996
4.61003	-30.0025	-0.00444148
4.61003	-30.001	-0.004443
4.61003	-29.9995	-0.00444452
4.61003	-29.998	-0.00444605
4.61003	-29.9966	-0.00444757
4.61004	-29.9951	-0.0044491
4.61004	-29.9936	-0.00445062
4.61004	-29.9921	-0.00445215
4.61004	-29.9906	-0.00445368
4.61004	-29.9892	-0.00445521
4.61004	-29.9877	-0.00445674
4.61004	-29.9862	-0.00445827
4.61004	-29.9847	-0.0044598
4.61004	-29.9832	-0.00446133
4.61005	-29.9818	-0.00446287
4.61005	-29.9803	-0.0044644
4.61005	-29.9788	-0.00446594
4.61005	-29.9773	-0.00446747
4.61005	-29.9758	-0.00446901
4.61005	-29.9744	-0.00447055
4.61005	-29.9729	-0.00447209
4.61005	-29.9714	-0.00447363
4.61005	-29.9699	-0.00447517
4.61005	-29.9684	-0.00447671
4.61006	-29.9669	-0.00447826
4.61006	-29.9654	-0.0044798
4.61006	-29.964	-0.00448134
4.61006	-29.9625	-0.00448289
4.61006	-29.961	-0.00448444
4.61006	-29.9595	-0.00448598
4.61006	-29.958	-0.00448753
4.61006	-29.9565	-0.00448908
4.61006	-29.955	-0.00449063
4.61006	-29.9535	-0.00449218
4.61007	-29.9521	-0.00449373
4.61007	-29.9506	-0.00449529
4.61007	-29.9491	-0.00449684
4.61007	-29.9476	-0.0044984
4.61007	-29.9461	-0.00449995
4.61007	-29.9446	-0.00450151
4.61007	-29.9431	-0.00450307
4.61007	-29.9416	-0.00450462
4.61007	-29.9401	-0.00450618
4.61007	-29.9386	-0.00450774
4.61008	-29.9371	-0.00450931
4.61008	-29.9357	-0.00451087
4.61008	-29.9342	-0.00451243
4.61008	-29.9327	-0.00451399
4.61008	-29.9312	-0.00451556
4.61008	-29.9297	-0.00451713
4.61008	-29.9282	-0.00451869
4.61008	-29.9267	-0.00452026
4.61008	-29.9252	-0.00452183
4.61008	-29.9237	-0.0045234
4.61009	-29.9222	-0.00452497
4.61009	-29.9207	-0.00452654
4.61009	-29.9192	-0.00452811
4.61009	-29.9177	-0.00452969
4.61009	-29.9162	-0.00453126
4.61009	-29.9147	-0.00453284
4.61009	-29.9132	-0.00453441
