Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.162	-30.8409	-0.00376134
5.162	-30.8383	-0.00376363
5.162	-30.8356	-0.00376593
5.162	-30.833	-0.00376822
5.162	-30.8304	-0.00377052
5.162	-30.8278	-0.00377283
5.16201	-30.8252	-0.00377513
5.16201	-30.8226	-0.00377744
5.16201	-30.8199	-0.00377975
5.16201	-30.8173	-0.00378206
5.16201	-30.8147	-0.00378438
5.16201	-30.8121	-0.00378669
5.16201	-30.8094	-0.00378901
5.16201	-30.8068	-0.00379134
5.16201	-30.8042	-0.00379366
5.16202	-30.8016	-0.00379599
5.16202	-30.7989	-0.00379832
5.16202	-30.7963	-0.00380065
5.16202	-30.7937	-0.00380298
5.16202	-30.791	-0.00380532
5.16202	-30.7884	-0.00380766
5.16202	-30.7858	-0.00381
5.16202	-30.7831	-0.00381234
5.16202	-30.7805	-0.00381469
5.16202	-30.7779	-0.00381704
5.16202	-30.7752	-0.00381939
5.16203	-30.7726	-0.00382175
5.16203	-30.7699	-0.0038241
5.16203	-30.7673	-0.00382646
5.16203	-30.7646	-0.00382882
5.16203	-30.762	-0.00383119
5.16203	-30.7593	-0.00383355
5.16203	-30.7567	-0.00383592
5.16203	-30.754	-0.00383829
5.16203	-30.7514	-0.00384067
5.16203	-30.7487	-0.00384305
5.16204	-30.7461	-0.00384542
5.16204	-30.7434	-0.00384781
5.16204	-30.7408	-0.00385019
5.16204	-30.7381	-0.00385258
5.16204	-30.7355	-0.00385497
5.16204	-30.7328	-0.00385736
5.16204	-30.7301	-0.00385975
5.16204	-30.7275	-0.00386215
5.16204	-30.7248	-0.00386455
5.16204	-30.7222	-0.00386695
5.16205	-30.7195	-0.00386936
5.16205	-30.7168	-0.00387176
5.16205	-30.7142	-0.00387417
5.16205	-30.7115	-0.00387658
5.16205	-30.7088	-0.003879
5.16205	-30.7061	-0.00388142
5.16205	-30.7035	-0.00388384
5.16205	-30.7008	-0.00388626
5.16205	-30.6981	-0.00388868
5.16205	-30.6955	-0.00389111
5.16206	-30.6928	-0.00389354
5.16206	-30.6901	-0.00389598
5.16206	-30.6874	-0.00389841
5.16206	-30.6847	-0.00390085
5.16206	-30.6821	-0.00390329
5.16206	-30.6794	-0.00390573
5.16206	-30.6767	-0.00390818
5.16206	-30.674	-0.00391063
5.16206	-30.6713	-0.00391308
5.16207	-30.6686	-0.00391553
5.16207	-30.6659	-0.00391799
5.16207	-30.6632	-0.00392045
5.16207	-30.6606	-0.00392291
5.16207	-30.6579	-0.00392537
5.16207	-30.6552	-0.00392784
5.16207	-30.6525	-0.00393031
5.16207	-30.6498	-0.00393278
5.16207	-30.6471	-0.00393526
5.16207	-30.6444	-0.00393774
5.16207	-30.6417	-0.00394022
5.16208	-30.639	-0.0039427
5.16208	-30.6363	-0.00394519
5.16208	-30.6336	-0.00394767
5.16208	-30.6309	-0.00395017
5.16208	-30.6282	-0.00395266
5.16208	-30.6255	-0.00395516
5.16208	-30.6227	-0.00395765
5.16208	-30.62	-0.00396016
5.16208	-30.6173	-0.00396266
5.16209	-30.6146	-0.00396517
5.16209	-30.6119	-0.00396768
5.16209	-30.6092	-0.00397019
5.16209	-30.6065	-0.00397271
5.16209	-30.6037	-0.00397522
5.16209	-30.601	-0.00397775
5.16209	-30.5983	-0.00398027
5.16209	-30.5956	-0.0039828
5.16209	-30.5929	-0.00398532
5.16209	-30.5901	-0.00398786
5.16209	-30.5874	-0.00399039
5.1621	-30.5847	-0.00399293
5.1621	-30.582	-0.00399547
5.1621	-30.5792	-0.00399801
5.1621	-30.5765	-0.00400056
5.1621	-30.5738	-0.00400311
5.1621	-30.571	-0.00400566
5.1621	-30.5683	-0.00400821
5.1621	-30.5656	-0.00401077
5.1621	-30.5628	-0.00401333
5.1621	-30.5601	-0.00401589
5.16211	-30.5574	-0.00401845
5.16211	-30.5546	-0.00402102
5.16211	-30.5519	-0.00402359
5.16211	-30.5491	-0.00402617
5.16211	-30.5464	-0.00402874
5.16211	-30.5436	-0.00403132
5.16211	-30.5409	-0.0040339
5.16211	-30.5382	-0.00403649
5.16211	-30.5354	-0.00403908
5.16212	-30.5327	-0.00404167
5.16212	-30.5299	-0.00404426
5.16212	-30.5271	-0.00404686
5.16212	-30.5244	-0.00404945
5.16212	-30.5216	-0.00405206
5.16212	-30.5189	-0.00405466
5.16212	-30.5161	-0.00405727
5.16212	-30.5134	-0.00405988
5.16212	-30.5106	-0.00406249
5.16212	-30.5078	-0.00406511
5.16212	-30.5051	-0.00406773
5.16213	-30.5023	-0.00407035
5.16213	-30.4996	-0.00407297
5.16213	-30.4968	-0.0040756
5.16213	-30.494	-0.00407823
5.16213	-30.4913	-0.00408087
5.16213	-30.4885	-0.0040835
5.16213	-30.4857	-0.00408614
5.16213	-30.4829	-0.00408878
5.16213	-30.4802	-0.00409143
5.16214	-30.4774	-0.00409408
