Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
4.61	-35.7871	-0.00116942
4.61	-35.7864	-0.00116961
4.61	-35.7857	-0.0011698
4.61	-35.785	-0.00116999
4.61	-35.7843	-0.00117018
4.61001	-35.7836	-0.00117037
4.61001	-35.7829	-0.00117056
4.61001	-35.7822	-0.00117075
4.61001	-35.7815	-0.00117094
4.61001	-35.7808	-0.00117113
4.61001	-35.7801	-0.00117132
4.61001	-35.7794	-0.00117151
4.61001	-35.7787	-0.0011717
4.61001	-35.778	-0.00117189
4.61001	-35.7773	-0.00117208
4.61002	-35.7766	-0.00117228
4.61002	-35.7759	-0.00117247
4.61002	-35.7752	-0.00117266
4.61002	-35.7745	-0.00117285
4.61002	-35.7738	-0.00117304
4.61002	-35.7731	-0.00117323
4.61002	-35.7724	-0.00117342
4.61002	-35.7717	-0.00117361
4.61002	-35.7711	-0.0011738
4.61002	-35.7704	-0.00117399
4.61003	-35.7697	-0.00117418
4.61003	-35.769	-0.00117437
4.61003	-35.7683	-0.00117457
4.61003	-35.7676	-0.00117476
4.61003	-35.7669	-0.00117495
4.61003	-35.7662	-0.00117514
4.61003	-35.7655	-0.00117533
4.61003	-35.7648	-0.00117552
4.61003	-35.7641	-0.00117572
4.61003	-35.7634	-0.00117591
4.61003	-35.7627	-0.0011761
4.61004	-35.762	-0.00117629
4.61004	-35.7613	-0.00117648
4.61004	-35.7606	-0.00117667
4.61004	-35.7599	-0.00117687
4.61004	-35.7592	-0.00117706
4.61004	-35.7585	-0.00117725
4.61004	-35.7578	-0.00117744
4.61004	-35.7571	-0.00117763
4.61004	-35.7564	-0.00117783
4.61005	-35.7557	-0.00117802
4.61005	-35.755	-0.00117821
4.61005	-35.7543	-0.0011784
4.61005	-35.7536	-0.0011786
4.61005	-35.7529	-0.00117879
4.61005	-35.7522	-0.00117898
4.61005	-35.7515	-0.00117918
4.61005	-35.7508	-0.00117937
4.61005	-35.7501	-0.00117956
4.61005	-35.7494	-0.00117975
4.61006	-35.7487	-0.00117995
4.61006	-35.748	-0.00118014
4.61006	-35.7473	-0.00118033
4.61006	-35.7466	-0.00118053
4.61006	-35.7459	-0.00118072
4.61006	-35.7452	-0.00118091
4.61006	-35.7445	-0.00118111
4.61006	-35.7438	-0.0011813
4.61006	-35.7431	-0.00118149
4.61006	-35.7424	-0.00118169
4.61007	-35.7417	-0.00118188
4.61007	-35.741	-0.00118207
4.61007	-35.7403	-0.00118227
4.61007	-35.7396	-0.00118246
4.61007	-35.7389	-0.00118266
