Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.1581	-17.7303	-0.0766729
5.1581	-17.7286	-0.076704
5.1581	-17.7269	-0.0767352
5.1581	-17.7251	-0.0767663
5.1581	-17.7234	-0.0767975
5.1581	-17.7216	-0.0768288
5.1581	-17.7199	-0.07686
5.1581	-17.7181	-0.0768913
5.1581	-17.7164	-0.0769225
5.1581	-17.7146	-0.0769538
5.1581	-17.7129	-0.0769851
5.1581	-17.7111	-0.0770165
5.1581	-17.7094	-0.0770478
5.1581	-17.7076	-0.0770792
5.1581	-17.7059	-0.0771106
5.1581	-17.7041	-0.077142
5.1581	-17.7024	-0.0771735
5.1581	-17.7006	-0.0772049
5.1581	-17.6989	-0.0772364
5.1581	-17.6971	-0.0772679
5.1581	-17.6954	-0.0772994
5.1581	-17.6936	-0.0773309
5.1581	-17.6919	-0.0773625
5.1581	-17.6901	-0.0773941
5.1581	-17.6884	-0.0774257
5.1581	-17.6866	-0.0774573
5.15811	-17.6849	-0.0774889
5.15811	-17.6831	-0.0775206
5.15811	-17.6814	-0.0775522
5.15811	-17.6796	-0.0775839
5.15811	-17.6779	-0.0776157
5.15811	-17.6761	-0.0776474
5.15811	-17.6743	-0.0776791
5.15811	-17.6726	-0.0777109
5.15811	-17.6708	-0.0777427
5.15811	-17.6691	-0.0777745
5.15811	-17.6673	-0.0778064
5.15811	-17.6656	-0.0778382
5.15811	-17.6638	-0.0778701
5.15811	-17.662	-0.077902
5.15811	-17.6603	-0.0779339
5.15811	-17.6585	-0.0779658
5.15811	-17.6568	-0.0779978
5.15811	-17.655	-0.0780298
5.15811	-17.6532	-0.0780618
5.15811	-17.6515	-0.0780938
5.15811	-17.6497	-0.0781258
5.15811	-17.648	-0.0781579
5.15811	-17.6462	-0.07819
5.15811	-17.6444	-0.0782221
5.15811	-17.6427	-0.0782542
5.15811	-17.6409	-0.0782863
5.15811	-17.6391	-0.0783185
5.15811	-17.6374	-0.0783507
5.15811	-17.6356	-0.0783829
5.15811	-17.6339	-0.0784151
5.15811	-17.6321	-0.0784473
5.15811	-17.6303	-0.0784796
5.15811	-17.6286	-0.0785119
5.15811	-17.6268	-0.0785442
5.15811	-17.625	-0.0785765
5.15811	-17.6233	-0.0786089
5.15811	-17.6215	-0.0786412
5.15811	-17.6197	-0.0786736
5.15811	-17.618	-0.078706
5.15811	-17.6162	-0.0787384
5.15811	-17.6144	-0.0787709
5.15811	-17.6126	-0.0788034
5.15811	-17.6109	-0.0788359
5.15811	-17.6091	-0.0788684
5.15811	-17.6073	-0.0789009
5.15811	-17.6056	-0.0789334
5.15811	-17.6038	-0.078966
5.15811	-17.602	-0.0789986
5.15811	-17.6002	-0.0790312
5.15811	-17.5985	-0.0790639
5.15812	-17.5967	-0.0790965
5.15812	-17.5949	-0.0791292
5.15812	-17.5932	-0.0791619
5.15812	-17.5914	-0.0791946
5.15812	-17.5896	-0.0792274
