Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.738	-12.3082	-0.272902
5.738	-12.3	-0.273437
5.738	-12.2918	-0.273973
5.738	-12.2836	-0.27451
5.738	-12.2753	-0.275049
5.738	-12.2671	-0.27559
5.738	-12.2588	-0.276133
5.738	-12.2505	-0.276677
5.738	-12.2423	-0.277222
5.73801	-12.234	-0.277769
5.73801	-12.2257	-0.278318
5.73801	-12.2174	-0.278869
5.73801	-12.2091	-0.279421
5.73801	-12.2008	-0.279975
5.73801	-12.1924	-0.280531
5.73801	-12.1841	-0.281088
5.73801	-12.1758	-0.281647
5.73801	-12.1674	-0.282207
5.73801	-12.1591	-0.28277
5.73801	-12.1507	-0.283334
5.73801	-12.1423	-0.283899
5.73801	-12.1339	-0.284467
5.73801	-12.1256	-0.285036
5.73801	-12.1172	-0.285607
5.73801	-12.1088	-0.286179
5.73802	-12.1003	-0.286754
5.73802	-12.0919	-0.28733
5.73802	-12.0835	-0.287907
5.73802	-12.0751	-0.288487
5.73802	-12.0666	-0.289068
5.73802	-12.0582	-0.289652
5.73802	-12.0497	-0.290236
5.73802	-12.0412	-0.290823
5.73802	-12.0328	-0.291412
5.73802	-12.0243	-0.292002
5.73802	-12.0158	-0.292594
5.73802	-12.0073	-0.293188
5.73802	-11.9988	-0.293784
5.73802	-11.9902	-0.294381
5.73802	-11.9817	-0.294981
5.73802	-11.9732	-0.295582
5.73802	-11.9646	-0.296185
5.73803	-11.9561	-0.29679
5.73803	-11.9475	-0.297397
5.73803	-11.939	-0.298006
5.73803	-11.9304	-0.298617
5.73803	-11.9218	-0.299229
5.73803	-11.9132	-0.299844
5.73803	-11.9046	-0.30046
5.73803	-11.896	-0.301079
5.73803	-11.8874	-0.301699
5.73803	-11.8787	-0.302321
5.73803	-11.8701	-0.302945
5.73803	-11.8615	-0.303571
5.73803	-11.8528	-0.304199
5.73803	-11.8441	-0.304829
5.73803	-11.8355	-0.305461
5.73803	-11.8268	-0.306095
5.73803	-11.8181	-0.306731
5.73804	-11.8094	-0.307369
5.73804	-11.8007	-0.308009
5.73804	-11.792	-0.308651
5.73804	-11.7833	-0.309295
5.73804	-11.7745	-0.309941
5.73804	-11.7658	-0.310589
5.73804	-11.757	-0.311239
5.73804	-11.7483	-0.311891
5.73804	-11.7395	-0.312546
5.73804	-11.7307	-0.313202
5.73804	-11.722	-0.31386
5.73804	-11.7132	-0.314521
5.73804	-11.7044	-0.315184
5.73804	-11.6956	-0.315848
5.73804	-11.6867	-0.316515
5.73804	-11.6779	-0.317184
5.73805	-11.6691	-0.317855
5.73805	-11.6602	-0.318529
5.73805	-11.6514	-0.319204
5.73805	-11.6425	-0.319882
5.73805	-11.6336	-0.320562
5.73805	-11.6247	-0.321244
5.73805	-11.6159	-0.321928
5.73805	-11.607	-0.322614
5.73805	-11.598	-0.323303
5.73805	-11.5891	-0.323993
5.73805	-11.5802	-0.324687
5.73805	-11.5713	-0.325382
5.73805	-11.5623	-0.326079
5.73805	-11.5534	-0.326779
5.73805	-11.5444	-0.327481
5.73805	-11.5354	-0.328186
5.73805	-11.5265	-0.328892
5.73806	-11.5175	-0.329601
5.73806	-11.5085	-0.330313
5.73806	-11.4995	-0.331026
5.73806	-11.4904	-0.331742
5.73806	-11.4814	-0.33246
5.73806	-11.4724	-0.333181
5.73806	-11.4633	-0.333904
5.73806	-11.4543	-0.334629
5.73806	-11.4452	-0.335357
5.73806	-11.4361	-0.336087
5.73806	-11.4271	-0.33682
5.73806	-11.418	-0.337555
5.73806	-11.4089	-0.338292
5.73806	-11.3997	-0.339032
5.73806	-11.3906	-0.339774
5.73806	-11.3815	-0.340519
5.73806	-11.3724	-0.341266
5.73807	-11.3632	-0.342016
5.73807	-11.3541	-0.342768
5.73807	-11.3449	-0.343522
5.73807	-11.3357	-0.344279
5.73807	-11.3265	-0.345039
5.73807	-11.3173	-0.345801
5.73807	-11.3081	-0.346566
5.73807	-11.2989	-0.347333
5.73807	-11.2897	-0.348103
5.73807	-11.2804	-0.348876
5.73807	-11.2712	-0.349651
5.73807	-11.2619	-0.350428
5.73807	-11.2527	-0.351209
5.73807	-11.2434	-0.351992
5.73807	-11.2341	-0.352777
5.73807	-11.2248	-0.353565
5.73808	-11.2155	-0.354356
5.73808	-11.2062	-0.35515
5.73808	-11.1969	-0.355946
5.73808	-11.1876	-0.356745
5.73808	-11.1782	-0.357546
5.73808	-11.1689	-0.35835
5.73808	-11.1595	-0.359157
5.73808	-11.1501	-0.359967
5.73808	-11.1408	-0.36078
5.73808	-11.1314	-0.361595
5.73808	-11.122	-0.362413
5.73808	-11.1126	-0.363234
5.73808	-11.1031	-0.364058
5.73808	-11.0937	-0.364884
5.73808	-11.0843	-0.365714
5.73808	-11.0748	-0.366546
5.73808	-11.0654	-0.367381
5.73809	-11.0559	-0.368219
5.73809	-11.0464	-0.369059
5.73809	-11.0369	-0.369903
5.73809	-11.0274	-0.37075
5.73809	-11.0179	-0.371599
5.73809	-11.0084	-0.372452
5.73809	-10.9989	-0.373307
5.73809	-10.9893	-0.374166
5.73809	-10.9798	-0.375027
5.73809	-10.9702	-0.375891
5.73809	-10.9606	-0.376759
5.73809	-10.9511	-0.377629
5.73809	-10.9415	-0.378502
5.73809	-10.9319	-0.379379
5.73809	-10.9223	-0.380258
5.73809	-10.9126	-0.381141
5.73809	-10.903	-0.382026
5.7381	-10.8934	-0.382915
5.7381	-10.8837	-0.383807
5.7381	-10.874	-0.384702
5.7381	-10.8644	-0.3856
5.7381	-10.8547	-0.386502
5.7381	-10.845	-0.387406
5.7381	-10.8353	-0.388314
5.7381	-10.8256	-0.389225
5.7381	-10.8158	-0.390139
5.7381	-10.8061	-0.391056
5.7381	-10.7964	-0.391977
5.7381	-10.7866	-0.392901
5.7381	-10.7768	-0.393828
5.7381	-10.7671	-0.394758
5.7381	-10.7573	-0.395692
5.7381	-10.7475	-0.396629
5.73811	-10.7376	-0.39757
5.73811	-10.7278	-0.398513
