Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
5.1605	-25.4082	-0.013094
5.1605	-25.4065	-0.0130993
5.1605	-25.4047	-0.0131047
5.1605	-25.4029	-0.01311
5.1605	-25.4012	-0.0131154
5.1605	-25.3994	-0.0131207
5.1605	-25.3977	-0.0131261
5.1605	-25.3959	-0.0131314
5.1605	-25.3941	-0.0131368
5.1605	-25.3924	-0.0131422
5.1605	-25.3906	-0.0131476
5.1605	-25.3889	-0.0131529
5.1605	-25.3871	-0.0131583
5.16051	-25.3853	-0.0131637
5.16051	-25.3836	-0.0131691
5.16051	-25.3818	-0.0131745
5.16051	-25.38	-0.0131799
5.16051	-25.3783	-0.0131853
5.16051	-25.3765	-0.0131907
5.16051	-25.3747	-0.0131961
5.16051	-25.373	-0.0132015
5.16051	-25.3712	-0.0132069
5.16051	-25.3694	-0.0132123
5.16051	-25.3677	-0.0132177
5.16051	-25.3659	-0.0132231
5.16051	-25.3641	-0.0132286
5.16051	-25.3624	-0.013234
5.16051	-25.3606	-0.0132394
5.16051	-25.3588	-0.0132449
5.16051	-25.357	-0.0132503
5.16051	-25.3553	-0.0132557
5.16051	-25.3535	-0.0132612
5.16051	-25.3517	-0.0132666
5.16051	-25.35	-0.0132721
5.16051	-25.3482	-0.0132776
5.16051	-25.3464	-0.013283
5.16051	-25.3446	-0.0132885
5.16051	-25.3429	-0.013294
5.16052	-25.3411	-0.0132994
5.16052	-25.3393	-0.0133049
5.16052	-25.3375	-0.0133104
5.16052	-25.3358	-0.0133159
5.16052	-25.334	-0.0133214
5.16052	-25.3322	-0.0133268
5.16052	-25.3304	-0.0133323
5.16052	-25.3287	-0.0133378
5.16052	-25.3269	-0.0133433
5.16052	-25.3251	-0.0133488
5.16052	-25.3233	-0.0133544
5.16052	-25.3215	-0.0133599
5.16052	-25.3198	-0.0133654
5.16052	-25.318	-0.0133709
5.16052	-25.3162	-0.0133764
5.16052	-25.3144	-0.013382
5.16052	-25.3126	-0.0133875
5.16052	-25.3108	-0.013393
5.16052	-25.3091	-0.0133986
5.16052	-25.3073	-0.0134041
5.16052	-25.3055	-0.0134097
5.16052	-25.3037	-0.0134152
5.16052	-25.3019	-0.0134208
5.16052	-25.3001	-0.0134263
5.16052	-25.2984	-0.0134319
5.16053	-25.2966	-0.0134374
5.16053	-25.2948	-0.013443
5.16053	-25.293	-0.0134486
5.16053	-25.2912	-0.0134542
5.16053	-25.2894	-0.0134597
5.16053	-25.2876	-0.0134653
5.16053	-25.2858	-0.0134709
5.16053	-25.284	-0.0134765
5.16053	-25.2823	-0.0134821
5.16053	-25.2805	-0.0134877
5.16053	-25.2787	-0.0134933
5.16053	-25.2769	-0.0134989
