Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.248	-15.0553	-0.142494
6.248	-15.0518	-0.14261
6.248	-15.0484	-0.142726
6.248	-15.0449	-0.142842
6.248	-15.0414	-0.142958
6.248	-15.038	-0.143074
6.248	-15.0345	-0.14319
6.248	-15.031	-0.143307
6.248	-15.0276	-0.143424
6.248	-15.0241	-0.143541
6.248	-15.0206	-0.143658
6.248	-15.0171	-0.143775
6.248	-15.0137	-0.143892
6.24801	-15.0102	-0.14401
6.24801	-15.0067	-0.144127
6.24801	-15.0032	-0.144245
6.24801	-14.9997	-0.144363
6.24801	-14.9963	-0.144481
6.24801	-14.9928	-0.144599
6.24801	-14.9893	-0.144718
6.24801	-14.9858	-0.144836
6.24801	-14.9823	-0.144955
6.24801	-14.9788	-0.145074
6.24801	-14.9753	-0.145193
6.24801	-14.9718	-0.145312
6.24801	-14.9683	-0.145431
6.24801	-14.9648	-0.14555
6.24801	-14.9613	-0.14567
6.24801	-14.9578	-0.14579
6.24801	-14.9543	-0.145909
6.24801	-14.9508	-0.146029
6.24801	-14.9473	-0.14615
6.24801	-14.9438	-0.14627
6.24801	-14.9403	-0.14639
6.24801	-14.9368	-0.146511
6.24801	-14.9333	-0.146632
6.24801	-14.9297	-0.146753
6.24801	-14.9262	-0.146874
6.24802	-14.9227	-0.146995
6.24802	-14.9192	-0.147116
6.24802	-14.9157	-0.147238
6.24802	-14.9122	-0.14736
6.24802	-14.9086	-0.147482
6.24802	-14.9051	-0.147604
6.24802	-14.9016	-0.147726
6.24802	-14.8981	-0.147848
6.24802	-14.8945	-0.147971
6.24802	-14.891	-0.148093
6.24802	-14.8875	-0.148216
6.24802	-14.8839	-0.148339
6.24802	-14.8804	-0.148462
6.24802	-14.8769	-0.148585
6.24802	-14.8733	-0.148709
6.24802	-14.8698	-0.148832
6.24802	-14.8662	-0.148956
6.24802	-14.8627	-0.14908
6.24802	-14.8591	-0.149204
6.24802	-14.8556	-0.149328
6.24802	-14.8521	-0.149453
6.24802	-14.8485	-0.149577
6.24802	-14.845	-0.149702
6.24802	-14.8414	-0.149827
6.24802	-14.8379	-0.149952
6.24803	-14.8343	-0.150077
6.24803	-14.8307	-0.150202
6.24803	-14.8272	-0.150328
6.24803	-14.8236	-0.150453
6.24803	-14.8201	-0.150579
6.24803	-14.8165	-0.150705
6.24803	-14.8129	-0.150831
6.24803	-14.8094	-0.150958
6.24803	-14.8058	-0.151084
6.24803	-14.8022	-0.151211
6.24803	-14.7987	-0.151338
6.24803	-14.7951	-0.151465
6.24803	-14.7915	-0.151592
6.24803	-14.7879	-0.151719
6.24803	-14.7844	-0.151846
6.24803	-14.7808	-0.151974
6.24803	-14.7772	-0.152102
6.24803	-14.7736	-0.15223
6.24803	-14.77	-0.152358
6.24803	-14.7664	-0.152486
6.24803	-14.7629	-0.152615
