 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/22/2022 10:06:15
File Marker Date: 12/16/2021 22:52:12
PPC_Dim_will_be_squared = 52.0
DistFromTL = 20.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 8.0
Box_w = 250.0
Lalu = 1000.0
O_coupler_eff = 4.5
R 49.53430
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
5.200000000000000,-7.344832689e-4,-8.114444501e-3,0.9964357393190,-0.083959306272,0.9964357393190,-0.083959306272,-6.339404407e-4,-8.122917764e-3
5.200010000000001,-7.345357033e-4,-8.114961484e-3,0.9964356779200,-0.083959978724,0.9964356779200,-0.083959978724,-6.339871062e-4,-8.123442382e-3
5.200020000000000,-7.345888278e-4,-8.115483436e-3,0.9964356168475,-0.083960646598,0.9964356168475,-0.083960646598,-6.340339748e-4,-8.123964935e-3
5.200030000000000,-7.346419732e-4,-8.116005590e-3,0.9964355557553,-0.083961314674,0.9964355557553,-0.083961314674,-6.340808620e-4,-8.124487690e-3
5.200040000000000,-7.346951395e-4,-8.116527947e-3,0.9964354946434,-0.083961982954,0.9964354946434,-0.083961982954,-6.341277677e-4,-8.125010649e-3
5.200050000000000,-7.347483267e-4,-8.117050508e-3,0.9964354335118,-0.083962651437,0.9964354335118,-0.083962651437,-6.341746919e-4,-8.125533810e-3
5.200060000000001,-7.348015349e-4,-8.117573271e-3,0.9964353723604,-0.083963320123,0.9964353723604,-0.083963320123,-6.342216346e-4,-8.126057176e-3
5.200070000000000,-7.348547639e-4,-8.118096238e-3,0.9964353111893,-0.083963989012,0.9964353111893,-0.083963989012,-6.342685959e-4,-8.126580744e-3
5.200080000000001,-7.349080138e-4,-8.118619408e-3,0.9964352499984,-0.083964658105,0.9964352499984,-0.083964658105,-6.343155757e-4,-8.127104517e-3
5.200090000000000,-7.349612847e-4,-8.119142781e-3,0.9964351887877,-0.083965327402,0.9964351887877,-0.083965327402,-6.343625741e-4,-8.127628493e-3
5.200100000000000,-7.350145766e-4,-8.119666359e-3,0.9964351275572,-0.083965996902,0.9964351275572,-0.083965996902,-6.344095911e-4,-8.128152673e-3
5.200110000000000,-7.350678894e-4,-8.120190140e-3,0.9964350663070,-0.083966666606,0.9964350663070,-0.083966666606,-6.344566266e-4,-8.128677057e-3
5.200120000000000,-7.351212233e-4,-8.120714124e-3,0.9964350050369,-0.083967336515,0.9964350050369,-0.083967336515,-6.345036808e-4,-8.129201645e-3
5.200130000000001,-7.351745781e-4,-8.121238313e-3,0.9964349437470,-0.083968006627,0.9964349437470,-0.083968006627,-6.345507535e-4,-8.129726438e-3
5.200140000000000,-7.352279539e-4,-8.121762706e-3,0.9964348824373,-0.083968676943,0.9964348824373,-0.083968676943,-6.345978449e-4,-8.130251434e-3
5.200150000000001,-7.352813508e-4,-8.122287304e-3,0.9964348211077,-0.083969347464,0.9964348211077,-0.083969347464,-6.346449549e-4,-8.130776636e-3
5.200160000000000,-7.353347687e-4,-8.122812105e-3,0.9964347597583,-0.083970018190,0.9964347597583,-0.083970018190,-6.346920835e-4,-8.131302041e-3
5.200170000000000,-7.353882076e-4,-8.123337111e-3,0.9964346983890,-0.083970689120,0.9964346983890,-0.083970689120,-6.347392308e-4,-8.131827652e-3
5.200180000000000,-7.354416676e-4,-8.123862322e-3,0.9964346369998,-0.083971360254,0.9964346369998,-0.083971360254,-6.347863968e-4,-8.132353467e-3
5.200190000000000,-7.354951487e-4,-8.124387738e-3,0.9964345755907,-0.083972031594,0.9964345755907,-0.083972031594,-6.348335815e-4,-8.132879488e-3
5.200200000000001,-7.355486508e-4,-8.124913358e-3,0.9964345141617,-0.083972703138,0.9964345141617,-0.083972703138,-6.348807848e-4,-8.133405713e-3
5.200210000000000,-7.356021741e-4,-8.125439183e-3,0.9964344527128,-0.083973374888,0.9964344527128,-0.083973374888,-6.349280068e-4,-8.133932144e-3
5.200220000000001,-7.356557184e-4,-8.125965214e-3,0.9964343912439,-0.083974046843,0.9964343912439,-0.083974046843,-6.349752476e-4,-8.134458780e-3
5.200230000000000,-7.357092839e-4,-8.126491449e-3,0.9964343297551,-0.083974719003,0.9964343297551,-0.083974719003,-6.350225070e-4,-8.134985622e-3
5.200240000000000,-7.357628706e-4,-8.127017891e-3,0.9964342682464,-0.083975391368,0.9964342682464,-0.083975391368,-6.350697853e-4,-8.135512669e-3
5.200250000000000,-7.358164783e-4,-8.127544537e-3,0.9964342067177,-0.083976063939,0.9964342067177,-0.083976063939,-6.351170822e-4,-8.136039921e-3
5.200260000000000,-7.358701073e-4,-8.128071389e-3,0.9964341451690,-0.083976736716,0.9964341451690,-0.083976736716,-6.351643979e-4,-8.136567380e-3
5.200270000000001,-7.359237574e-4,-8.128598447e-3,0.9964340836003,-0.083977409699,0.9964340836003,-0.083977409699,-6.352117324e-4,-8.137095045e-3
5.200280000000000,-7.359774287e-4,-8.129125711e-3,0.9964340220116,-0.083978082887,0.9964340220116,-0.083978082887,-6.352590857e-4,-8.137622915e-3
5.200290000000001,-7.360311213e-4,-8.129653180e-3,0.9964339604028,-0.083978756282,0.9964339604028,-0.083978756282,-6.353064577e-4,-8.138150992e-3
5.200300000000000,-7.360848350e-4,-8.130180856e-3,0.9964338987741,-0.083979429883,0.9964338987741,-0.083979429883,-6.353538486e-4,-8.138679275e-3
5.200310000000000,-7.361385700e-4,-8.130708738e-3,0.9964338371253,-0.083980103690,0.9964338371253,-0.083980103690,-6.354012583e-4,-8.139207765e-3
