 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/21/2022 11:57:25
File Marker Date: 12/16/2021 22:52:12
PPC_Dim_will_be_squared = 47.0
DistFromTL = 20.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 8.0
Box_w = 250.0
Lalu = 1000.0
O_coupler_eff = 4.0
R 49.53430
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.800000000000001,-3.803760242e-4,-4.701839291e-3,0.9971934393941,-0.074719355420,0.9971934393941,-0.074719355420,-3.245620951e-4,-4.706021465e-3
4.800200000000000,-3.804096770e-4,-4.702060900e-3,0.9971932033474,-0.074722489653,0.9971932033474,-0.074722489653,-3.245912223e-4,-4.706243349e-3
4.800400000000001,-3.804436849e-4,-4.702282289e-3,0.9971929674370,-0.074725624030,0.9971929674370,-0.074725624030,-3.246203121e-4,-4.706465280e-3
4.800600000000000,-3.804776955e-4,-4.702503691e-3,0.9971927315156,-0.074728758420,0.9971927315156,-0.074728758420,-3.246494041e-4,-4.706687224e-3
4.800800000000001,-3.805117088e-4,-4.702725107e-3,0.9971924955832,-0.074731892823,0.9971924955832,-0.074731892823,-3.246784984e-4,-4.706909182e-3
4.801000000000000,-3.805457247e-4,-4.702946537e-3,0.9971922596397,-0.074735027239,0.9971922596397,-0.074735027239,-3.247075950e-4,-4.707131154e-3
4.801200000000001,-3.805797432e-4,-4.703167981e-3,0.9971920236852,-0.074738161669,0.9971920236852,-0.074738161669,-3.247366939e-4,-4.707353139e-3
4.801400000000000,-3.806137644e-4,-4.703389439e-3,0.9971917877197,-0.074741296111,0.9971917877197,-0.074741296111,-3.247657951e-4,-4.707575138e-3
4.801600000000001,-3.806477883e-4,-4.703610910e-3,0.9971915517431,-0.074744430566,0.9971915517430,-0.074744430566,-3.247948985e-4,-4.707797152e-3
4.801800000000000,-3.806818148e-4,-4.703832395e-3,0.9971913157554,-0.074747565034,0.9971913157554,-0.074747565034,-3.248240043e-4,-4.708019179e-3
4.802000000000000,-3.807158440e-4,-4.704053894e-3,0.9971910797567,-0.074750699515,0.9971910797567,-0.074750699515,-3.248531124e-4,-4.708241219e-3
4.802200000000000,-3.807498759e-4,-4.704275406e-3,0.9971908437469,-0.074753834009,0.9971908437469,-0.074753834009,-3.248822227e-4,-4.708463274e-3
4.802400000000000,-3.807839104e-4,-4.704496932e-3,0.9971906077261,-0.074756968517,0.9971906077261,-0.074756968517,-3.249113354e-4,-4.708685343e-3
4.802600000000000,-3.808179476e-4,-4.704718472e-3,0.9971903716943,-0.074760103037,0.9971903716943,-0.074760103037,-3.249404503e-4,-4.708907425e-3
4.802800000000000,-3.808519875e-4,-4.704940026e-3,0.9971901356514,-0.074763237570,0.9971901356514,-0.074763237570,-3.249695676e-4,-4.709129521e-3
4.803000000000000,-3.808860300e-4,-4.705161594e-3,0.9971898995974,-0.074766372117,0.9971898995974,-0.074766372117,-3.249986871e-4,-4.709351631e-3
4.803200000000000,-3.809200752e-4,-4.705383176e-3,0.9971896635324,-0.074769506676,0.9971896635324,-0.074769506676,-3.250278089e-4,-4.709573755e-3
4.803400000000000,-3.809541230e-4,-4.705604771e-3,0.9971894274564,-0.074772641249,0.9971894274564,-0.074772641249,-3.250569331e-4,-4.709795893e-3
4.803600000000000,-3.809881736e-4,-4.705826380e-3,0.9971891913692,-0.074775775834,0.9971891913692,-0.074775775834,-3.250860595e-4,-4.710018045e-3
4.803800000000001,-3.810222268e-4,-4.706048003e-3,0.9971889552711,-0.074778910433,0.9971889552711,-0.074778910433,-3.251151882e-4,-4.710240211e-3
4.804000000000000,-3.810562826e-4,-4.706269640e-3,0.9971887191619,-0.074782045045,0.9971887191619,-0.074782045045,-3.251443193e-4,-4.710462390e-3
4.804200000000001,-3.810903412e-4,-4.706491291e-3,0.9971884830416,-0.074785179670,0.9971884830416,-0.074785179670,-3.251734526e-4,-4.710684584e-3
4.804400000000000,-3.811244024e-4,-4.706712956e-3,0.9971882469102,-0.074788314308,0.9971882469102,-0.074788314308,-3.252025883e-4,-4.710906792e-3
4.804600000000001,-3.811584663e-4,-4.706934634e-3,0.9971880107678,-0.074791448959,0.9971880107678,-0.074791448959,-3.252317262e-4,-4.711129013e-3
4.804800000000000,-3.811925329e-4,-4.707156327e-3,0.9971877746144,-0.074794583624,0.9971877746144,-0.074794583624,-3.252608665e-4,-4.711351248e-3
4.805000000000001,-3.812266021e-4,-4.707378033e-3,0.9971875384499,-0.074797718301,0.9971875384499,-0.074797718301,-3.252900090e-4,-4.711573498e-3
4.805200000000000,-3.812606740e-4,-4.707599754e-3,0.9971873022743,-0.074800852992,0.9971873022743,-0.074800852992,-3.253191539e-4,-4.711795761e-3
4.805400000000001,-3.812947486e-4,-4.707821488e-3,0.9971870660876,-0.074803987696,0.9971870660876,-0.074803987696,-3.253483011e-4,-4.712018039e-3
4.805600000000000,-3.813288259e-4,-4.708043236e-3,0.9971868298899,-0.074807122413,0.9971868298899,-0.074807122413,-3.253774506e-4,-4.712240330e-3
4.805800000000001,-3.813629058e-4,-4.708264998e-3,0.9971865936812,-0.074810257143,0.9971865936812,-0.074810257143,-3.254066023e-4,-4.712462635e-3
4.806000000000000,-3.813969885e-4,-4.708486774e-3,0.9971863574614,-0.074813391887,0.9971863574614,-0.074813391887,-3.254357564e-4,-4.712684955e-3
4.806200000000000,-3.814310738e-4,-4.708708564e-3,0.9971861212305,-0.074816526644,0.9971861212305,-0.074816526644,-3.254649129e-4,-4.712907288e-3
4.806400000000000,-3.814651618e-4,-4.708930368e-3,0.9971858849885,-0.074819661413,0.9971858849885,-0.074819661413,-3.254940716e-4,-4.713129635e-3
4.806600000000000,-3.814992525e-4,-4.709152186e-3,0.9971856487355,-0.074822796197,0.9971856487355,-0.074822796197,-3.255232326e-4,-4.713351997e-3
4.806800000000000,-3.815333458e-4,-4.709374018e-3,0.9971854124714,-0.074825930993,0.9971854124714,-0.074825930993,-3.255523960e-4,-4.713574372e-3
4.807000000000000,-3.815674419e-4,-4.709595864e-3,0.9971851761962,-0.074829065803,0.9971851761962,-0.074829065803,-3.255815616e-4,-4.713796762e-3
4.807200000000000,-3.816015406e-4,-4.709817723e-3,0.9971849399100,-0.074832200625,0.9971849399100,-0.074832200625,-3.256107296e-4,-4.714019165e-3
4.807400000000000,-3.816356421e-4,-4.710039597e-3,0.9971847036127,-0.074835335462,0.9971847036127,-0.074835335462,-3.256398999e-4,-4.714241583e-3
4.807600000000000,-3.816697462e-4,-4.710261485e-3,0.9971844673043,-0.074838470311,0.9971844673043,-0.074838470311,-3.256690725e-4,-4.714464015e-3
4.807800000000000,-3.817038530e-4,-4.710483387e-3,0.9971842309849,-0.074841605174,0.9971842309849,-0.074841605174,-3.256982474e-4,-4.714686461e-3
4.808000000000001,-3.817379625e-4,-4.710705303e-3,0.9971839946544,-0.074844740050,0.9971839946544,-0.074844740050,-3.257274247e-4,-4.714908921e-3
4.808200000000000,-3.817720747e-4,-4.710927233e-3,0.9971837583128,-0.074847874939,0.9971837583128,-0.074847874939,-3.257566042e-4,-4.715131395e-3
4.808400000000001,-3.818061895e-4,-4.711149177e-3,0.9971835219601,-0.074851009841,0.9971835219601,-0.074851009841,-3.257857861e-4,-4.715353883e-3
4.808600000000000,-3.818403071e-4,-4.711371135e-3,0.9971832855964,-0.074854144757,0.9971832855964,-0.074854144757,-3.258149703e-4,-4.715576385e-3
4.808800000000001,-3.818744274e-4,-4.711593107e-3,0.9971830492215,-0.074857279687,0.9971830492215,-0.074857279687,-3.258441568e-4,-4.715798901e-3
4.809000000000000,-3.819085503e-4,-4.711815094e-3,0.9971828128357,-0.074860414629,0.9971828128357,-0.074860414629,-3.258733457e-4,-4.716021432e-3
4.809200000000001,-3.819426760e-4,-4.712037094e-3,0.9971825764387,-0.074863549585,0.9971825764387,-0.074863549585,-3.259025368e-4,-4.716243977e-3
4.809400000000000,-3.819768043e-4,-4.712259109e-3,0.9971823400306,-0.074866684554,0.9971823400306,-0.074866684554,-3.259317303e-4,-4.716466535e-3
4.809600000000001,-3.820109354e-4,-4.712481137e-3,0.9971821036115,-0.074869819537,0.9971821036115,-0.074869819537,-3.259609261e-4,-4.716689109e-3
4.809800000000000,-3.820450691e-4,-4.712703180e-3,0.9971818671813,-0.074872954533,0.9971818671813,-0.074872954533,-3.259901243e-4,-4.716911696e-3
4.810000000000000,-3.820792055e-4,-4.712925237e-3,0.9971816307400,-0.074876089542,0.9971816307400,-0.074876089542,-3.260193248e-4,-4.717134297e-3
4.810200000000000,-3.821133447e-4,-4.713147308e-3,0.9971813942876,-0.074879224565,0.9971813942876,-0.074879224565,-3.260485275e-4,-4.717356913e-3
4.810400000000000,-3.821474865e-4,-4.713369393e-3,0.9971811578242,-0.074882359601,0.9971811578242,-0.074882359601,-3.260777327e-4,-4.717579543e-3
4.810600000000000,-3.821816311e-4,-4.713591492e-3,0.9971809213497,-0.074885494650,0.9971809213497,-0.074885494650,-3.261069401e-4,-4.717802187e-3
