 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/21/2022 11:57:00
File Marker Date: 12/16/2021 22:52:12
PPC_Dim_will_be_squared = 52.0
DistFromTL = 20.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 8.0
Box_w = 250.0
Lalu = 1000.0
O_coupler_eff = 4.0
R 49.53430
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
4.800000000000001,-3.875310950e-4,-4.785040767e-3,0.9971863653465,-0.074808381150,0.9971863653465,-0.074808381150,-3.307429585e-4,-4.789301047e-3
4.800200000000000,-3.875717962e-4,-4.785332139e-3,0.9971861236189,-0.074811587193,0.9971861236189,-0.074811587193,-3.307776308e-4,-4.789594330e-3
4.800400000000001,-3.876120943e-4,-4.785623842e-3,0.9971858816317,-0.074814793614,0.9971858816317,-0.074814793614,-3.308122006e-4,-4.789886647e-3
4.800600000000000,-3.876524023e-4,-4.785915637e-3,0.9971856396269,-0.074818000125,0.9971856396269,-0.074818000125,-3.308467791e-4,-4.790179056e-3
4.800800000000001,-3.876927203e-4,-4.786207526e-3,0.9971853976042,-0.074821206727,0.9971853976042,-0.074821206727,-3.308813663e-4,-4.790471558e-3
4.801000000000000,-3.877330481e-4,-4.786499507e-3,0.9971851555638,-0.074824413420,0.9971851555638,-0.074824413420,-3.309159621e-4,-4.790764153e-3
4.801200000000001,-3.877733860e-4,-4.786791581e-3,0.9971849135057,-0.074827620204,0.9971849135057,-0.074827620204,-3.309505666e-4,-4.791056842e-3
4.801400000000000,-3.878137337e-4,-4.787083748e-3,0.9971846714297,-0.074830827078,0.9971846714297,-0.074830827078,-3.309851797e-4,-4.791349623e-3
4.801600000000001,-3.878540915e-4,-4.787376008e-3,0.9971844293360,-0.074834034044,0.9971844293360,-0.074834034044,-3.310198016e-4,-4.791642498e-3
4.801800000000000,-3.878944592e-4,-4.787668362e-3,0.9971841872244,-0.074837241101,0.9971841872244,-0.074837241101,-3.310544322e-4,-4.791935466e-3
4.802000000000000,-3.879348369e-4,-4.787960809e-3,0.9971839450951,-0.074840448250,0.9971839450951,-0.074840448250,-3.310890714e-4,-4.792228528e-3
4.802200000000000,-3.879752246e-4,-4.788253349e-3,0.9971837029479,-0.074843655490,0.9971837029479,-0.074843655490,-3.311237195e-4,-4.792521683e-3
4.802400000000000,-3.880156223e-4,-4.788545984e-3,0.9971834607828,-0.074846862821,0.9971834607828,-0.074846862821,-3.311583762e-4,-4.792814933e-3
4.802600000000000,-3.880560300e-4,-4.788838712e-3,0.9971832185999,-0.074850070245,0.9971832185999,-0.074850070245,-3.311930417e-4,-4.793108276e-3
4.802800000000000,-3.880964478e-4,-4.789131534e-3,0.9971829763992,-0.074853277760,0.9971829763992,-0.074853277760,-3.312277159e-4,-4.793401714e-3
4.803000000000000,-3.881368757e-4,-4.789424450e-3,0.9971827341806,-0.074856485367,0.9971827341806,-0.074856485367,-3.312623989e-4,-4.793695245e-3
4.803200000000000,-3.881773135e-4,-4.789717460e-3,0.9971824919441,-0.074859693067,0.9971824919441,-0.074859693067,-3.312970907e-4,-4.793988871e-3
4.803400000000000,-3.882177615e-4,-4.790010565e-3,0.9971822496897,-0.074862900859,0.9971822496897,-0.074862900859,-3.313317913e-4,-4.794282591e-3
4.803600000000000,-3.882582195e-4,-4.790303764e-3,0.9971820074174,-0.074866108743,0.9971820074174,-0.074866108743,-3.313665007e-4,-4.794576406e-3
4.803800000000001,-3.882986877e-4,-4.790597058e-3,0.9971817651271,-0.074869316719,0.9971817651271,-0.074869316719,-3.314012188e-4,-4.794870316e-3
4.804000000000000,-3.883391659e-4,-4.790890446e-3,0.9971815228190,-0.074872524788,0.9971815228190,-0.074872524788,-3.314359458e-4,-4.795164320e-3
4.804200000000001,-3.883796543e-4,-4.791183929e-3,0.9971812804929,-0.074875732950,0.9971812804929,-0.074875732950,-3.314706817e-4,-4.795458420e-3
4.804400000000000,-3.884201528e-4,-4.791477507e-3,0.9971810381489,-0.074878941205,0.9971810381489,-0.074878941205,-3.315054263e-4,-4.795752614e-3
4.804600000000001,-3.884606614e-4,-4.791771180e-3,0.9971807957869,-0.074882149553,0.9971807957869,-0.074882149553,-3.315401798e-4,-4.796046904e-3
4.804800000000000,-3.885011802e-4,-4.792064949e-3,0.9971805534069,-0.074885357994,0.9971805534069,-0.074885357994,-3.315749422e-4,-4.796341289e-3
4.805000000000001,-3.885417092e-4,-4.792358812e-3,0.9971803110090,-0.074888566528,0.9971803110090,-0.074888566528,-3.316097134e-4,-4.796635770e-3
4.805200000000000,-3.885822483e-4,-4.792652772e-3,0.9971800685930,-0.074891775156,0.9971800685930,-0.074891775156,-3.316444936e-4,-4.796930346e-3
4.805400000000001,-3.886227977e-4,-4.792946826e-3,0.9971798261591,-0.074894983877,0.9971798261591,-0.074894983877,-3.316792826e-4,-4.797225018e-3
4.805600000000000,-3.886633572e-4,-4.793240977e-3,0.9971795837071,-0.074898192692,0.9971795837071,-0.074898192692,-3.317140805e-4,-4.797519785e-3
4.805800000000001,-3.887039269e-4,-4.793535223e-3,0.9971793412371,-0.074901401601,0.9971793412371,-0.074901401601,-3.317488873e-4,-4.797814649e-3
4.806000000000000,-3.887445069e-4,-4.793829565e-3,0.9971790987491,-0.074904610603,0.9971790987491,-0.074904610603,-3.317837030e-4,-4.798109609e-3
